[gmean] 2026-07-16T13:44:00 out_dir=autoresearch/improve-260716-1344/round1_b15/union_d002
[gmean] 2026-07-16T13:44:00 budgets=iscas99__b15_1:278
[gmean] 2026-07-16T13:44:00 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0
[gmean] 2026-07-16T13:44:00 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_lcb
[plan iscas99__b15_1] [plan] step=241 node=N2250 type=observe q_pred_lcb=-0.752748 sequence=-147.293281
[plan iscas99__b15_1] [plan] step=242 node=N1351 type=observe q_pred_lcb=-0.978807 sequence=-148.278754
[plan iscas99__b15_1] [plan] step=243 node=N5052 type=observe q_pred_lcb=-0.990601 sequence=-149.276022
[plan iscas99__b15_1] [plan] step=244 node=N1349 type=observe q_pred_lcb=-0.980465 sequence=-150.263154
[plan iscas99__b15_1] [plan] step=245 node=N1350 type=observe q_pred_lcb=-0.934346 sequence=-151.204167
[plan iscas99__b15_1] [plan] step=246 node=N2158 type=observe q_pred_lcb=-0.649518 sequence=-151.858685
[plan iscas99__b15_1] [plan] step=247 node=N8452 type=observe q_pred_lcb=-0.905799 sequence=-152.769484
[plan iscas99__b15_1] [plan] step=248 node=N2174 type=observe q_pred_lcb=-0.627564 sequence=-153.402049
[plan iscas99__b15_1] [plan] step=249 node=N2170 type=observe q_pred_lcb=-0.594568 sequence=-154.001616
[plan iscas99__b15_1] [plan] step=250 node=N2162 type=observe q_pred_lcb=-0.710842 sequence=-154.717458
[plan iscas99__b15_1] [plan] step=251 node=N2178 type=observe q_pred_lcb=-0.746906 sequence=-155.469364
[plan iscas99__b15_1] [plan] step=252 node=N2150 type=observe q_pred_lcb=-0.777717 sequence=-156.252082
[plan iscas99__b15_1] [plan] step=253 node=N2166 type=observe q_pred_lcb=-0.803788 sequence=-157.060870
[plan iscas99__b15_1] [plan] step=254 node=N8484 type=observe q_pred_lcb=-0.909411 sequence=-157.975281
[plan iscas99__b15_1] [plan] step=255 node=N7401 type=observe q_pred_lcb=-0.671646 sequence=-158.653593
[plan iscas99__b15_1] [plan] step=256 node=N715 type=observe q_pred_lcb=-0.935170 sequence=-159.593763
[plan iscas99__b15_1] [plan] step=257 node=N714 type=observe q_pred_lcb=-0.940960 sequence=-160.539723
[plan iscas99__b15_1] [plan] step=258 node=N702 type=observe q_pred_lcb=-0.919798 sequence=-161.463521
[plan iscas99__b15_1] [plan] step=259 node=N5054 type=observe q_pred_lcb=-0.918036 sequence=-162.388223
[plan iscas99__b15_1] [plan] step=260 node=N711 type=observe q_pred_lcb=-0.909063 sequence=-163.303953
[plan iscas99__b15_1] [plan] step=261 node=N5286 type=observe q_pred_lcb=-0.798409 sequence=-164.109028
[plan iscas99__b15_1] [plan] step=262 node=N7502 type=observe q_pred_lcb=-0.780327 sequence=-164.893355
[plan iscas99__b15_1] [plan] step=263 node=N5290 type=observe q_pred_lcb=-0.767906 sequence=-165.666261
[plan iscas99__b15_1] [plan] step=264 node=N5298 type=observe q_pred_lcb=-0.742668 sequence=-166.413930
[plan iscas99__b15_1] [plan] step=265 node=N5241 type=observe q_pred_lcb=-0.714137 sequence=-167.133066
[plan iscas99__b15_1] [plan] step=266 node=N5249 type=observe q_pred_lcb=-0.697526 sequence=-167.835592
[plan iscas99__b15_1] [plan] step=267 node=N5346 type=observe q_pred_lcb=-0.685175 sequence=-168.525767
[plan iscas99__b15_1] [plan] step=268 node=N5353 type=observe q_pred_lcb=-0.674511 sequence=-169.204278
[plan iscas99__b15_1] [plan] step=269 node=N5343 type=observe q_pred_lcb=-0.666824 sequence=-169.876102
[plan iscas99__b15_1] [plan] step=270 node=N5267 type=observe q_pred_lcb=-0.571710 sequence=-170.457811
[plan iscas99__b15_1] [plan] step=271 node=N5275 type=observe q_pred_lcb=-0.547822 sequence=-171.015633
[plan iscas99__b15_1] [plan] step=272 node=N5279 type=observe q_pred_lcb=-0.546476 sequence=-171.567109
[plan iscas99__b15_1] [plan] step=273 node=N5295 type=observe q_pred_lcb=-0.782015 sequence=-172.354124
[plan iscas99__b15_1] [plan] step=274 node=N5246 type=observe q_pred_lcb=-0.795192 sequence=-173.154315
[plan iscas99__b15_1] [plan] step=275 node=N5268 type=observe q_pred_lcb=-0.640783 sequence=-173.801765
[plan iscas99__b15_1] [plan] step=276 node=N5269 type=observe q_pred_lcb=-0.774091 sequence=-174.580857
[plan iscas99__b15_1] [plan] step=277 node=N6682 type=observe q_pred_lcb=-0.793225 sequence=-175.374082
[plan iscas99__b15_1] [plan] step=278 node=N5272 type=observe q_pred_lcb=-0.642311 sequence=-176.016393
[plan iscas99__b15_1] saved=autoresearch/improve-260716-1344/round1_b15/union_d002/plans/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0.csv
[gmean] 2026-07-16T13:58:39 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=878.699 plan_csv=autoresearch/improve-260716-1344/round1_b15/union_d002/plans/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0.csv
[gmean] 2026-07-16T13:58:39 [1/1] eval_start benchmark=iscas99__b15_1 backend=atalanta-bist patterns=300000
[eval iscas99__b15_1] {
[eval iscas99__b15_1]   "records": 2,
[eval iscas99__b15_1]   "labels_csv": "autoresearch/improve-260716-1344/round1_b15/union_d002/evals/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0/labels.csv",
[eval iscas99__b15_1]   "summary_json": "autoresearch/improve-260716-1344/round1_b15/union_d002/evals/iscas99__b15_1__greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0/summary.json"
[eval iscas99__b15_1] }
[gmean] 2026-07-16T13:58:46 [1/1] eval_done benchmark=iscas99__b15_1 delta_tc=0.07271000000000005 plan_sec=878.699 eval_sec=6.941 total_sec=885.654
[gmean] 2026-07-16T13:58:46 variant_done id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0 status=ok macro=0.07271000000000005 positives=1 negatives=0 elapsed=885.654
