[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=149 node=N2102 type=observe q_typed_reliable_context=5.231215 sequence=269.673694
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=150 node=N7680 type=observe q_typed_reliable_context=5.550582 sequence=275.224275
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=151 node=N7441 type=control0 q_typed_reliable_context=5.677436 sequence=280.901711
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=152 node=N7442 type=control0 q_typed_reliable_context=3.739823 sequence=284.641534
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=153 node=N7627 type=observe q_typed_reliable_context=2.312832 sequence=286.954365
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=154 node=N6948 type=observe q_typed_reliable_context=2.244219 sequence=289.198584
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=3.367885 sequence=292.566469
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=156 node=N7465 type=observe q_typed_reliable_context=2.425865 sequence=294.992334
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=157 node=N5617 type=observe q_typed_reliable_context=3.025429 sequence=298.017763
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=158 node=N7624 type=observe q_typed_reliable_context=6.853625 sequence=304.871387
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=159 node=N5627 type=observe q_typed_reliable_context=3.864080 sequence=308.735467
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=160 node=N4529 type=observe q_typed_reliable_context=6.178214 sequence=314.913682
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=161 node=N5740 type=observe q_typed_reliable_context=3.471082 sequence=318.384763
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=4.501666 sequence=322.886429
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=163 node=N6531 type=observe q_typed_reliable_context=3.088581 sequence=325.975010
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=164 node=N712 type=observe q_typed_reliable_context=1.868284 sequence=327.843294
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=165 node=N7614 type=observe q_typed_reliable_context=4.905133 sequence=332.748427
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=166 node=N5877 type=observe q_typed_reliable_context=4.412064 sequence=337.160492
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=167 node=N725 type=observe q_typed_reliable_context=4.011062 sequence=341.171554
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=168 node=N6688 type=observe q_typed_reliable_context=4.140512 sequence=345.312066
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=169 node=N714 type=observe q_typed_reliable_context=6.367492 sequence=351.679558
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=170 node=N5356 type=observe q_typed_reliable_context=6.069203 sequence=357.748761
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=171 node=N7436 type=observe q_typed_reliable_context=5.319099 sequence=363.067861
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=172 node=N7681 type=observe q_typed_reliable_context=6.941634 sequence=370.009494
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=173 node=N694 type=observe q_typed_reliable_context=5.317148 sequence=375.326642
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=174 node=N4521 type=observe q_typed_reliable_context=5.152269 sequence=380.478911
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=175 node=N1949 type=observe q_typed_reliable_context=1.931603 sequence=382.410514
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=176 node=N6678 type=observe q_typed_reliable_context=4.612132 sequence=387.022646
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=177 node=N723 type=observe q_typed_reliable_context=5.854788 sequence=392.877434
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=178 node=N5873 type=observe q_typed_reliable_context=6.405684 sequence=399.283118
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=179 node=N7855 type=control0 q_typed_reliable_context=4.684837 sequence=403.967955
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=180 node=N7500 type=observe q_typed_reliable_context=5.659594 sequence=409.627549
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=181 node=N703 type=observe q_typed_reliable_context=2.626636 sequence=412.254185
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=182 node=N5473 type=observe q_typed_reliable_context=3.552232 sequence=415.806417
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=183 node=N7542 type=control0 q_typed_reliable_context=4.652878 sequence=420.459295
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=184 node=N715 type=observe q_typed_reliable_context=5.007946 sequence=425.467241
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=185 node=N2181 type=observe q_typed_reliable_context=4.862710 sequence=430.329950
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=186 node=N771 type=observe q_typed_reliable_context=4.295470 sequence=434.625420
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=187 node=N6685 type=observe q_typed_reliable_context=2.855539 sequence=437.480959
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=188 node=N5879 type=observe q_typed_reliable_context=3.533672 sequence=441.014631
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=189 node=N7453 type=observe q_typed_reliable_context=2.419102 sequence=443.433733
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=190 node=N7401 type=observe q_typed_reliable_context=1.366783 sequence=444.800515
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=191 node=N578 type=observe q_typed_reliable_context=0.988482 sequence=445.788997
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=192 node=N5725 type=observe q_typed_reliable_context=1.689971 sequence=447.478969
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=193 node=N722 type=observe q_typed_reliable_context=4.336855 sequence=451.815823
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=194 node=N705 type=observe q_typed_reliable_context=3.358006 sequence=455.173829
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=195 node=N4497 type=observe q_typed_reliable_context=3.826372 sequence=459.000201
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=196 node=N7550 type=observe q_typed_reliable_context=6.220567 sequence=465.220768
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=197 node=N5422 type=observe q_typed_reliable_context=4.339489 sequence=469.560258
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=198 node=N7405 type=observe q_typed_reliable_context=6.344820 sequence=475.905078
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=199 node=N706 type=observe q_typed_reliable_context=4.545923 sequence=480.451001
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=200 node=N6673 type=observe q_typed_reliable_context=2.009979 sequence=482.460979
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=201 node=N763 type=observe q_typed_reliable_context=6.524888 sequence=488.985867
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=202 node=N2151 type=observe q_typed_reliable_context=1.756169 sequence=490.742036
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=203 node=N5456 type=observe q_typed_reliable_context=5.415198 sequence=496.157234
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=204 node=N4489 type=observe q_typed_reliable_context=5.200104 sequence=501.357338
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=205 node=N679 type=observe q_typed_reliable_context=5.147026 sequence=506.504364
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=206 node=N1874 type=observe q_typed_reliable_context=4.955267 sequence=511.459631
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=207 node=N7439 type=observe q_typed_reliable_context=5.012251 sequence=516.471882
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=208 node=N719 type=observe q_typed_reliable_context=3.455115 sequence=519.926996
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=209 node=N5202 type=observe q_typed_reliable_context=2.472889 sequence=522.399885
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=210 node=N5439 type=observe q_typed_reliable_context=5.633260 sequence=528.033145
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=211 node=N734 type=observe q_typed_reliable_context=5.123770 sequence=533.156915
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=212 node=N2159 type=observe q_typed_reliable_context=4.708269 sequence=537.865184
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=213 node=N7380 type=observe q_typed_reliable_context=5.506945 sequence=543.372129
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=214 node=N6952 type=observe q_typed_reliable_context=4.797559 sequence=548.169688
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=215 node=N5390 type=observe q_typed_reliable_context=5.230889 sequence=553.400578
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=216 node=N6932 type=observe q_typed_reliable_context=4.698182 sequence=558.098760
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=217 node=N4505 type=observe q_typed_reliable_context=5.908514 sequence=564.007274
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=218 node=N6667 type=observe q_typed_reliable_context=4.623487 sequence=568.630761
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=219 node=N5334 type=observe q_typed_reliable_context=5.382118 sequence=574.012880
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=220 node=N699 type=observe q_typed_reliable_context=5.344244 sequence=579.357124
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=221 node=N1351 type=observe q_typed_reliable_context=4.988419 sequence=584.345542
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=222 node=N708 type=observe q_typed_reliable_context=4.586929 sequence=588.932471
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=223 node=N4513 type=observe q_typed_reliable_context=4.469003 sequence=593.401474
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=224 node=N5373 type=observe q_typed_reliable_context=5.022589 sequence=598.424064
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=225 node=N6682 type=observe q_typed_reliable_context=4.889820 sequence=603.313884
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=226 node=N7381 type=observe q_typed_reliable_context=3.330185 sequence=606.644069
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=227 node=N7512 type=observe q_typed_reliable_context=2.790038 sequence=609.434107
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=228 node=N539 type=observe q_typed_reliable_context=4.421303 sequence=613.855410
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=229 node=N4460 type=control0 q_typed_reliable_context=2.472895 sequence=616.328304
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=230 node=N1854 type=observe q_typed_reliable_context=5.289918 sequence=621.618222
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=231 node=N4421 type=control0 q_typed_reliable_context=1.868775 sequence=623.486998
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=232 node=N753 type=observe q_typed_reliable_context=2.392905 sequence=625.879903
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=233 node=N764 type=observe q_typed_reliable_context=3.100777 sequence=628.980680
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=234 node=N1688 type=observe q_typed_reliable_context=5.439558 sequence=634.420237
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=235 node=N686 type=observe q_typed_reliable_context=3.589210 sequence=638.009447
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=236 node=N1598 type=observe q_typed_reliable_context=5.245189 sequence=643.254636
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=237 node=N2894 type=control1 q_typed_reliable_context=6.011975 sequence=649.266610
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=238 node=N4359 type=control0 q_typed_reliable_context=5.894929 sequence=655.161539
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=239 node=N898 type=observe q_typed_reliable_context=6.662735 sequence=661.824274
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=240 node=N684 type=observe q_typed_reliable_context=2.908289 sequence=664.732563
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=241 node=N7433 type=observe q_typed_reliable_context=3.072529 sequence=667.805092
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=242 node=N2243 type=observe q_typed_reliable_context=5.783240 sequence=673.588331
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=243 node=N729 type=observe q_typed_reliable_context=6.787206 sequence=680.375538
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=244 node=N4544 type=observe q_typed_reliable_context=3.083408 sequence=683.458946
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=245 node=N7463 type=observe q_typed_reliable_context=3.640982 sequence=687.099928
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=246 node=N4367 type=control0 q_typed_reliable_context=3.486847 sequence=690.586775
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=247 node=N756 type=observe q_typed_reliable_context=4.616799 sequence=695.203574
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=248 node=N696 type=observe q_typed_reliable_context=6.638825 sequence=701.842399
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=249 node=N4532 type=control0 q_typed_reliable_context=5.916649 sequence=707.759048
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=250 node=N3009 type=control1 q_typed_reliable_context=5.945914 sequence=713.704962
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=251 node=N8790 type=control1 q_typed_reliable_context=3.883384 sequence=717.588346
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=252 node=N4442 type=control0 q_typed_reliable_context=3.368754 sequence=720.957100
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=253 node=N8240 type=control1 q_typed_reliable_context=6.626849 sequence=727.583949
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=254 node=N759 type=observe q_typed_reliable_context=2.984392 sequence=730.568341
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=255 node=N2271 type=observe q_typed_reliable_context=5.716165 sequence=736.284505
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=256 node=N5000 type=observe q_typed_reliable_context=5.367530 sequence=741.652035
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=257 node=N765 type=observe q_typed_reliable_context=2.625926 sequence=744.277961
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=258 node=N754 type=observe q_typed_reliable_context=2.716457 sequence=746.994418
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=259 node=N8789 type=control1 q_typed_reliable_context=5.522200 sequence=752.516618
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=260 node=N4537 type=observe q_typed_reliable_context=5.162836 sequence=757.679453
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=261 node=N2216 type=observe q_typed_reliable_context=6.457964 sequence=764.137418
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=262 node=N2259 type=observe q_typed_reliable_context=5.967597 sequence=770.105015
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=263 node=N7444 type=observe q_typed_reliable_context=5.238441 sequence=775.343456
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=264 node=N6666 type=observe q_typed_reliable_context=3.173022 sequence=778.516477
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=265 node=N2218 type=observe q_typed_reliable_context=5.888649 sequence=784.405126
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=266 node=N2267 type=observe q_typed_reliable_context=6.016087 sequence=790.421213
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=267 node=N8239 type=control1 q_typed_reliable_context=5.661736 sequence=796.082949
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=268 node=N8607 type=control1 q_typed_reliable_context=5.929355 sequence=802.012304
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=269 node=N4469 type=control0 q_typed_reliable_context=4.592041 sequence=806.604345
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=270 node=N752 type=observe q_typed_reliable_context=6.328127 sequence=812.932472
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=271 node=N758 type=observe q_typed_reliable_context=3.266426 sequence=816.198898
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=272 node=N786 type=observe q_typed_reliable_context=4.229530 sequence=820.428428
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=273 node=N2185 type=observe q_typed_reliable_context=5.978414 sequence=826.406843
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=274 node=N2263 type=observe q_typed_reliable_context=5.266672 sequence=831.673515
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=275 node=N4558 type=observe q_typed_reliable_context=4.992269 sequence=836.665783
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=276 node=N2203 type=observe q_typed_reliable_context=5.652549 sequence=842.318332
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=277 node=N2247 type=observe q_typed_reliable_context=5.890797 sequence=848.209129
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=278 node=N2205 type=observe q_typed_reliable_context=5.421064 sequence=853.630194
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] saved=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001/plans/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:59:18 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=213.292 plan_csv=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001/plans/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:59:18 [1/1] eval_start benchmark=iscas99__b15_1 backend=atalanta-bist patterns=300000
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [eval iscas99__b15_1] {
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [eval iscas99__b15_1]   "records": 2,
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [eval iscas99__b15_1]   "labels_csv": "autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001/evals/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0/labels.csv",
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [eval iscas99__b15_1]   "summary_json": "autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001/evals/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0/summary.json"
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [eval iscas99__b15_1] }
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:59:25 [1/1] eval_done benchmark=iscas99__b15_1 delta_tc=0.12546000000000013 plan_sec=213.292 eval_sec=6.624 total_sec=219.929
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:59:25 variant_done id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0 status=ok macro=0.12546000000000013 positives=1 negatives=0 elapsed=219.93
