[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 out_dir=autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 budgets=iscas99__b15_1:278
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_context
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=210 node=N6684 type=observe q_pred_context=8.040000 sequence=1540.331295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=211 node=N4798 type=observe q_pred_context=8.040000 sequence=1548.371295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=212 node=N687 type=observe q_pred_context=8.040000 sequence=1556.411295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=213 node=N6680 type=observe q_pred_context=5.730000 sequence=1562.141295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=214 node=N3180 type=control1 q_pred_context=8.700000 sequence=1570.841295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=215 node=N690 type=observe q_pred_context=8.040000 sequence=1578.881295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=216 node=N4766 type=observe q_pred_context=8.040000 sequence=1586.921295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=217 node=N3124 type=control1 q_pred_context=8.700000 sequence=1595.621295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=218 node=N727 type=observe q_pred_context=8.040000 sequence=1603.661295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=219 node=N728 type=observe q_pred_context=8.040000 sequence=1611.701295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=220 node=N3352 type=control1 q_pred_context=8.040000 sequence=1619.741295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=221 node=N620 type=control1 q_pred_context=8.040000 sequence=1627.781295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=222 node=N3410 type=control1 q_pred_context=8.040000 sequence=1635.821295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=223 node=N638 type=control1 q_pred_context=8.040000 sequence=1643.861295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=224 node=N6659 type=observe q_pred_context=5.730000 sequence=1649.591295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=225 node=N7518 type=observe q_pred_context=8.040000 sequence=1657.631295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=226 node=N7397 type=observe q_pred_context=5.730000 sequence=1663.361295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=227 node=N4614 type=observe q_pred_context=8.040000 sequence=1671.401295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=228 node=N8470 type=observe q_pred_context=8.040000 sequence=1679.441295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=229 node=N4845 type=observe q_pred_context=8.040000 sequence=1687.481295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=230 node=N681 type=observe q_pred_context=8.040000 sequence=1695.521295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=231 node=N5034 type=observe q_pred_context=8.040000 sequence=1703.561295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=232 node=N4813 type=observe q_pred_context=8.040000 sequence=1711.601295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=233 node=N6586 type=observe q_pred_context=8.040000 sequence=1719.641295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=234 node=N1353 type=observe q_pred_context=8.040000 sequence=1727.681295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=235 node=N4821 type=observe q_pred_context=8.040000 sequence=1735.721295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=236 node=N2179 type=observe q_pred_context=8.040000 sequence=1743.761295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=237 node=N6679 type=observe q_pred_context=5.730000 sequence=1749.491295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=238 node=N2175 type=observe q_pred_context=8.040000 sequence=1757.531295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=239 node=N2171 type=observe q_pred_context=8.040000 sequence=1765.571295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=240 node=N4809 type=observe q_pred_context=8.040000 sequence=1773.611295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=241 node=N2163 type=observe q_pred_context=8.040000 sequence=1781.651295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=242 node=N6683 type=observe q_pred_context=5.730000 sequence=1787.381295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=243 node=N7422 type=observe q_pred_context=8.040000 sequence=1795.421295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=244 node=N1346 type=observe q_pred_context=8.040000 sequence=1803.461295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=245 node=N2167 type=observe q_pred_context=8.700000 sequence=1812.161295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=246 node=N8111 type=observe q_pred_context=8.040000 sequence=1820.201295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=247 node=N4837 type=observe q_pred_context=8.040000 sequence=1828.241295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=248 node=N707 type=observe q_pred_context=8.040000 sequence=1836.281295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=249 node=N701 type=observe q_pred_context=8.040000 sequence=1844.321295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=250 node=N8113 type=observe q_pred_context=8.040000 sequence=1852.361295
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=251 node=N7871 type=control1 q_pred_context=8.253425 sequence=1860.614720
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=252 node=N6670 type=observe q_pred_context=5.730000 sequence=1866.344720
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=253 node=N4557 type=control0 q_pred_context=8.450327 sequence=1874.795048
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=254 node=N2046 type=observe q_pred_context=8.040000 sequence=1882.835048
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=255 node=N2014 type=observe q_pred_context=8.040000 sequence=1890.875048
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=256 node=N2026 type=observe q_pred_context=8.040000 sequence=1898.915048
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=257 node=N1701 type=observe q_pred_context=8.040000 sequence=1906.955048
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=258 node=N3237 type=control1 q_pred_context=8.136994 sequence=1915.092042
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=259 node=N4861 type=observe q_pred_context=8.220419 sequence=1923.312460
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=260 node=N4853 type=observe q_pred_context=8.162661 sequence=1931.475121
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=261 node=N8482 type=observe q_pred_context=8.314045 sequence=1939.789166
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=262 node=N691 type=observe q_pred_context=8.274741 sequence=1948.063907
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=263 node=N5617 type=observe q_pred_context=7.988506 sequence=1956.052413
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=264 node=N656 type=observe q_pred_context=8.113150 sequence=1964.165562
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=265 node=N666 type=observe q_pred_context=8.077941 sequence=1972.243503
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=266 node=N670 type=observe q_pred_context=8.103108 sequence=1980.346611
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=267 node=N675 type=observe q_pred_context=8.122238 sequence=1988.468850
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=268 node=N718 type=observe q_pred_context=8.140105 sequence=1996.608955
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=269 node=N682 type=observe q_pred_context=8.156761 sequence=2004.765715
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=270 node=N8484 type=observe q_pred_context=8.212565 sequence=2012.978280
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=271 node=N2113 type=observe q_pred_context=8.251655 sequence=2021.229935
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=272 node=N8454 type=observe q_pred_context=8.040000 sequence=2029.269935
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=273 node=N6570 type=observe q_pred_context=8.105085 sequence=2037.375021
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=274 node=N710 type=observe q_pred_context=8.188208 sequence=2045.563228
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=275 node=N4904 type=observe q_pred_context=7.255937 sequence=2052.819165
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=276 node=N6569 type=observe q_pred_context=8.012470 sequence=2060.831635
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=277 node=N4750 type=observe q_pred_context=7.616687 sequence=2068.448321
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=278 node=N698 type=observe q_pred_context=8.057875 sequence=2076.506197
[typed-five/b15_C] [plan iscas99__b15_1] saved=autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C/plans/iscas99__b15_1__greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[typed-five/b15_C] [gmean] 2026-07-20T16:11:02 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=176.413 plan_csv=autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C/plans/iscas99__b15_1__greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[typed-five/b15_C] [gmean] 2026-07-20T16:11:02 [1/1] eval_start benchmark=iscas99__b15_1 backend=atalanta-bist patterns=300000
[typed-five/b15_C] [eval iscas99__b15_1] {
[typed-five/b15_C] [eval iscas99__b15_1]   "records": 2,
[typed-five/b15_C] [eval iscas99__b15_1]   "labels_csv": "autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C/evals/iscas99__b15_1__greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/labels.csv",
[typed-five/b15_C] [eval iscas99__b15_1]   "summary_json": "autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C/evals/iscas99__b15_1__greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/summary.json"
[typed-five/b15_C] [eval iscas99__b15_1] }
[typed-five/b15_C] [gmean] 2026-07-20T16:11:09 [1/1] eval_done benchmark=iscas99__b15_1 delta_tc=0.13414000000000004 plan_sec=176.413 eval_sec=7.166 total_sec=183.587
[typed-five/b15_C] [gmean] 2026-07-20T16:11:09 variant_done id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0 status=ok macro=0.13414000000000004 positives=1 negatives=0 elapsed=183.587
