[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p10_h1_c2
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=138 node=N2157 type=observe q_typed_reliable_context=2.228330 sequence=388.527733
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=139 node=N645 type=control1 q_typed_reliable_context=2.087230 sequence=390.614964
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=140 node=N616 type=control1 q_typed_reliable_context=2.044033 sequence=392.658996
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=141 node=N7424 type=control1 q_typed_reliable_context=1.382062 sequence=394.041058
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=142 node=N636 type=control1 q_typed_reliable_context=1.211801 sequence=395.252859
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=143 node=N7877 type=control1 q_typed_reliable_context=2.799734 sequence=398.052594
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=144 node=N7879 type=control1 q_typed_reliable_context=4.215966 sequence=402.268559
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=145 node=N3295 type=control1 q_typed_reliable_context=5.323653 sequence=407.592212
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=146 node=N3467 type=control1 q_typed_reliable_context=1.825150 sequence=409.417362
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=147 node=N642 type=control1 q_typed_reliable_context=1.796036 sequence=411.213398
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=148 node=N7614 type=observe q_typed_reliable_context=1.959282 sequence=413.172680
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=149 node=N649 type=control1 q_typed_reliable_context=2.610027 sequence=415.782708
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=150 node=N5740 type=observe q_typed_reliable_context=2.994597 sequence=418.777304
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=151 node=N3525 type=control1 q_typed_reliable_context=5.969380 sequence=424.746684
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=152 node=N630 type=control1 q_typed_reliable_context=3.144908 sequence=427.891592
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=153 node=N6534 type=observe q_typed_reliable_context=3.718569 sequence=431.610161
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=154 node=N1607 type=control1 q_typed_reliable_context=5.979582 sequence=437.589743
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=155 node=N647 type=control1 q_typed_reliable_context=6.065681 sequence=443.655424
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=156 node=N7679 type=observe q_typed_reliable_context=4.573934 sequence=448.229358
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=157 node=N1586 type=control1 q_typed_reliable_context=1.884913 sequence=450.114271
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=158 node=N2149 type=observe q_typed_reliable_context=4.173862 sequence=454.288133
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=159 node=N7385 type=observe q_typed_reliable_context=2.257038 sequence=456.545172
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=160 node=N5356 type=observe q_typed_reliable_context=2.983130 sequence=459.528302
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=161 node=N712 type=observe q_typed_reliable_context=4.354704 sequence=463.883006
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=162 node=N5878 type=observe q_typed_reliable_context=2.830798 sequence=466.713804
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=163 node=N5876 type=observe q_typed_reliable_context=1.691554 sequence=468.405358
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=164 node=N725 type=observe q_typed_reliable_context=1.975158 sequence=470.380516
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=165 node=N714 type=observe q_typed_reliable_context=3.041131 sequence=473.421647
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=166 node=N5874 type=observe q_typed_reliable_context=2.834832 sequence=476.256479
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=167 node=N7436 type=observe q_typed_reliable_context=1.270183 sequence=477.526662
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=168 node=N7627 type=observe q_typed_reliable_context=3.858490 sequence=481.385151
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=169 node=N723 type=observe q_typed_reliable_context=4.996028 sequence=486.381179
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=170 node=N715 type=observe q_typed_reliable_context=6.843935 sequence=493.225115
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=171 node=N1987 type=observe q_typed_reliable_context=5.425537 sequence=498.650651
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=172 node=N2072 type=observe q_typed_reliable_context=6.096129 sequence=504.746780
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=173 node=N6673 type=observe q_typed_reliable_context=1.421953 sequence=506.168733
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=174 node=N5473 type=observe q_typed_reliable_context=6.956446 sequence=513.125179
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=175 node=N2151 type=observe q_typed_reliable_context=7.668679 sequence=520.793858
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=176 node=N5456 type=observe q_typed_reliable_context=1.432763 sequence=522.226620
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=177 node=N5866 type=observe q_typed_reliable_context=6.800869 sequence=529.027490
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=178 node=N705 type=observe q_typed_reliable_context=2.621289 sequence=531.648779
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=179 node=N7442 type=control0 q_typed_reliable_context=6.370433 sequence=538.019212
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=180 node=N7405 type=observe q_typed_reliable_context=4.651214 sequence=542.670426
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=181 node=N1598 type=observe q_typed_reliable_context=5.237566 sequence=547.907992
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=182 node=N5422 type=observe q_typed_reliable_context=6.045101 sequence=553.953093
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=183 node=N703 type=observe q_typed_reliable_context=6.289315 sequence=560.242408
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=184 node=N6682 type=observe q_typed_reliable_context=5.055711 sequence=565.298118
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=185 node=N5439 type=observe q_typed_reliable_context=5.975344 sequence=571.273462
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=186 node=N5202 type=observe q_typed_reliable_context=6.603241 sequence=577.876703
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=187 node=N2652 type=control1 q_typed_reliable_context=6.394137 sequence=584.270840
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=188 node=N679 type=observe q_typed_reliable_context=2.457408 sequence=586.728248
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=189 node=N7439 type=observe q_typed_reliable_context=3.368173 sequence=590.096421
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=190 node=N5390 type=observe q_typed_reliable_context=2.926248 sequence=593.022669
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=191 node=N2721 type=control1 q_typed_reliable_context=7.040053 sequence=600.062722
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=192 node=N2894 type=control1 q_typed_reliable_context=1.928253 sequence=601.990974
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=193 node=N6668 type=observe q_typed_reliable_context=0.957948 sequence=602.948922
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=194 node=N5334 type=observe q_typed_reliable_context=0.939585 sequence=603.888508
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=195 node=N719 type=observe q_typed_reliable_context=3.080221 sequence=606.968729
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=196 node=N7473 type=control0 q_typed_reliable_context=2.102592 sequence=609.071322
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=197 node=N2952 type=control1 q_typed_reliable_context=4.904914 sequence=613.976235
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=198 node=N7380 type=observe q_typed_reliable_context=1.436983 sequence=615.413218
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=199 node=N2779 type=control1 q_typed_reliable_context=1.664561 sequence=617.077779
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=200 node=N5373 type=observe q_typed_reliable_context=0.779687 sequence=617.857466
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=201 node=N6660 type=observe q_typed_reliable_context=2.156855 sequence=620.014322
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=202 node=N708 type=observe q_typed_reliable_context=2.509078 sequence=622.523399
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=203 node=N734 type=observe q_typed_reliable_context=2.460311 sequence=624.983711
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=204 node=N7873 type=control1 q_typed_reliable_context=1.295409 sequence=626.279120
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=205 node=N699 type=observe q_typed_reliable_context=2.205739 sequence=628.484859
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=206 node=N2837 type=control1 q_typed_reliable_context=1.469470 sequence=629.954329
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=207 node=N7383 type=observe q_typed_reliable_context=1.397591 sequence=631.351920
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=208 node=N3009 type=control1 q_typed_reliable_context=1.305960 sequence=632.657881
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=209 node=N2159 type=observe q_typed_reliable_context=0.954574 sequence=633.612454
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=210 node=N7589 type=control1 q_typed_reliable_context=0.948467 sequence=634.560921
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=211 node=N6658 type=observe q_typed_reliable_context=1.078699 sequence=635.639620
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=212 node=N1351 type=observe q_typed_reliable_context=1.597083 sequence=637.236702
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=213 node=N1879 type=observe q_typed_reliable_context=0.857031 sequence=638.093733
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=214 node=N686 type=observe q_typed_reliable_context=2.225962 sequence=640.319696
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=215 node=N729 type=observe q_typed_reliable_context=2.422977 sequence=642.742672
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=216 node=N7381 type=observe q_typed_reliable_context=2.815633 sequence=645.558305
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=217 node=N684 type=observe q_typed_reliable_context=2.636579 sequence=648.194884
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=218 node=N6656 type=observe q_typed_reliable_context=2.074497 sequence=650.269381
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=219 node=N689 type=observe q_typed_reliable_context=3.020462 sequence=653.289843
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=220 node=N8790 type=control1 q_typed_reliable_context=2.271530 sequence=655.561373
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=221 node=N3067 type=control1 q_typed_reliable_context=1.928561 sequence=657.489934
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=222 node=N8240 type=control1 q_typed_reliable_context=2.007403 sequence=659.497337
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=223 node=N8789 type=control1 q_typed_reliable_context=1.949199 sequence=661.446536
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=224 node=N8239 type=control1 q_typed_reliable_context=2.116277 sequence=663.562812
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=225 node=N4460 type=control0 q_typed_reliable_context=1.222848 sequence=664.785660
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=226 node=N8607 type=control1 q_typed_reliable_context=4.133815 sequence=668.919475
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=227 node=N2243 type=observe q_typed_reliable_context=3.180019 sequence=672.099494
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=228 node=N5735 type=observe q_typed_reliable_context=1.621592 sequence=673.721085
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=229 node=N7433 type=observe q_typed_reliable_context=2.480555 sequence=676.201641
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=230 node=N2271 type=observe q_typed_reliable_context=2.476002 sequence=678.677642
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=231 node=N5094 type=observe q_typed_reliable_context=2.456081 sequence=681.133723
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=232 node=N1688 type=observe q_typed_reliable_context=1.186083 sequence=682.319806
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=233 node=N6659 type=observe q_typed_reliable_context=1.867720 sequence=684.187526
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=234 node=N2259 type=observe q_typed_reliable_context=5.725930 sequence=689.913455
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=235 node=N5160 type=observe q_typed_reliable_context=4.055918 sequence=693.969374
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=236 node=N5111 type=observe q_typed_reliable_context=2.856440 sequence=696.825814
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=237 node=N6537 type=observe q_typed_reliable_context=2.444539 sequence=699.270353
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=238 node=N2267 type=observe q_typed_reliable_context=2.050135 sequence=701.320487
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=239 node=N6685 type=observe q_typed_reliable_context=2.158749 sequence=703.479237
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=240 node=N2263 type=observe q_typed_reliable_context=5.141769 sequence=708.621006
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=241 node=N695 type=observe q_typed_reliable_context=4.533885 sequence=713.154891
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=242 node=N4900 type=observe q_typed_reliable_context=2.254104 sequence=715.408995
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=243 node=N2251 type=observe q_typed_reliable_context=4.332270 sequence=719.741265
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=244 node=N696 type=observe q_typed_reliable_context=4.031709 sequence=723.772974
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=245 node=N6657 type=observe q_typed_reliable_context=0.857151 sequence=724.630125
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=246 node=N7444 type=observe q_typed_reliable_context=2.660197 sequence=727.290322
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=247 node=N697 type=observe q_typed_reliable_context=2.883091 sequence=730.173413
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=248 node=N2247 type=observe q_typed_reliable_context=7.170161 sequence=737.343574
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=249 node=N7452 type=observe q_typed_reliable_context=6.937763 sequence=744.281337
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=250 node=N1352 type=observe q_typed_reliable_context=2.741398 sequence=747.022735
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=251 node=N680 type=observe q_typed_reliable_context=2.822000 sequence=749.844735
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=252 node=N6680 type=observe q_typed_reliable_context=0.934226 sequence=750.778961
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=253 node=N732 type=observe q_typed_reliable_context=5.202736 sequence=755.981697
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=254 node=N2216 type=observe q_typed_reliable_context=6.159326 sequence=762.141023
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=255 node=N7440 type=observe q_typed_reliable_context=1.956207 sequence=764.097230
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=256 node=N2218 type=observe q_typed_reliable_context=4.829651 sequence=768.926882
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=257 node=N4421 type=control0 q_typed_reliable_context=6.932861 sequence=775.859743
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=258 node=N4359 type=control0 q_typed_reliable_context=6.929249 sequence=782.788992
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=259 node=N4367 type=control0 q_typed_reliable_context=7.019061 sequence=789.808053
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=260 node=N6684 type=observe q_typed_reliable_context=4.824307 sequence=794.632360
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=261 node=N2255 type=observe q_typed_reliable_context=6.736037 sequence=801.368397
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=262 node=N2185 type=observe q_typed_reliable_context=6.858730 sequence=808.227127
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=263 node=N717 type=observe q_typed_reliable_context=6.490832 sequence=814.717959
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=264 node=N2203 type=observe q_typed_reliable_context=4.923003 sequence=819.640962
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=265 node=N733 type=observe q_typed_reliable_context=4.017042 sequence=823.658004
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=266 node=N2205 type=observe q_typed_reliable_context=3.991242 sequence=827.649246
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=267 node=N6562 type=observe q_typed_reliable_context=2.608158 sequence=830.257404
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=268 node=N735 type=observe q_typed_reliable_context=4.502220 sequence=834.759624
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=269 node=N2201 type=observe q_typed_reliable_context=6.990742 sequence=841.750366
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=270 node=N2226 type=observe q_typed_reliable_context=6.987585 sequence=848.737951
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=271 node=N652 type=control1 q_typed_reliable_context=4.929997 sequence=853.667948
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=272 node=N4532 type=control0 q_typed_reliable_context=1.029458 sequence=854.697406
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=273 node=N2212 type=observe q_typed_reliable_context=7.091471 sequence=861.788877
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=274 node=N8238 type=control1 q_typed_reliable_context=5.532094 sequence=867.320971
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=275 node=N6679 type=observe q_typed_reliable_context=1.331464 sequence=868.652435
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=276 node=N6956 type=control0 q_typed_reliable_context=6.329731 sequence=874.982166
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=277 node=N1348 type=observe q_typed_reliable_context=7.211090 sequence=882.193257
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=278 node=N8606 type=control1 q_typed_reliable_context=2.654475 sequence=884.847731
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] saved=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p10_h1_c2/plans/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:55:48 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=169.09 plan_csv=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p10_h1_c2/plans/iscas99__b15_1__greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
