[gmean] 2026-07-12T23:41:12 out_dir=autoresearch/exact-itc99-current-best-q-lcb-260712/b22_C
[gmean] 2026-07-12T23:41:12 budgets=iscas99__b22:915
[gmean] 2026-07-12T23:41:12 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-12T23:41:12 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_pred_lcb
[plan iscas99__b22] [plan] step=254 node=N8389 type=observe q_pred_lcb=-1.074045 sequence=-76.466910
[plan iscas99__b22] [plan] step=255 node=N8390 type=observe q_pred_lcb=-1.076756 sequence=-77.543666
[plan iscas99__b22] [plan] step=256 node=N8391 type=observe q_pred_lcb=-1.078264 sequence=-78.621930
[plan iscas99__b22] [plan] step=257 node=N8392 type=observe q_pred_lcb=-1.030850 sequence=-79.652780
[plan iscas99__b22] [plan] step=258 node=N8393 type=observe q_pred_lcb=-0.965345 sequence=-80.618125
[plan iscas99__b22] [plan] step=259 node=N12958 type=observe q_pred_lcb=-1.194012 sequence=-81.812137
[plan iscas99__b22] [plan] step=260 node=N12959 type=observe q_pred_lcb=-1.241237 sequence=-83.053374
[plan iscas99__b22] [plan] step=261 node=N5303 type=observe q_pred_lcb=-1.397411 sequence=-84.450784
[plan iscas99__b22] [plan] step=262 node=N5299 type=observe q_pred_lcb=-1.397074 sequence=-85.847858
[plan iscas99__b22] [plan] step=263 node=N18456 type=observe q_pred_lcb=-1.340662 sequence=-87.188520
[plan iscas99__b22] [plan] step=264 node=N5300 type=observe q_pred_lcb=-1.344116 sequence=-88.532636
[plan iscas99__b22] [plan] step=265 node=N18459 type=observe q_pred_lcb=-1.272927 sequence=-89.805563
[plan iscas99__b22] [plan] step=266 node=N5282 type=observe q_pred_lcb=-1.295369 sequence=-91.100932
[plan iscas99__b22] [plan] step=267 node=N18462 type=observe q_pred_lcb=-0.766631 sequence=-91.867563
[plan iscas99__b22] [plan] step=268 node=N5283 type=observe q_pred_lcb=-1.140771 sequence=-93.008334
[plan iscas99__b22] [plan] step=269 node=N18463 type=observe q_pred_lcb=-1.180091 sequence=-94.188425
[plan iscas99__b22] [plan] step=270 node=N18470 type=observe q_pred_lcb=-1.141400 sequence=-95.329825
[plan iscas99__b22] [plan] step=271 node=N5296 type=observe q_pred_lcb=-1.173103 sequence=-96.502929
[plan iscas99__b22] [plan] step=272 node=N5297 type=observe q_pred_lcb=-1.177422 sequence=-97.680351
[plan iscas99__b22] [plan] step=273 node=N5301 type=observe q_pred_lcb=-1.179112 sequence=-98.859462
[plan iscas99__b22] [plan] step=274 node=N18460 type=observe q_pred_lcb=-1.185701 sequence=-100.045163
[plan iscas99__b22] [plan] step=275 node=N18500 type=observe q_pred_lcb=-1.136176 sequence=-101.181339
[plan iscas99__b22] [plan] step=276 node=N8332 type=observe q_pred_lcb=-1.190844 sequence=-102.372183
[plan iscas99__b22] [plan] step=277 node=N18504 type=observe q_pred_lcb=-1.209779 sequence=-103.581962
[plan iscas99__b22] [plan] step=278 node=N2098 type=observe q_pred_lcb=-1.224662 sequence=-104.806624
[plan iscas99__b22] [plan] step=279 node=N18505 type=observe q_pred_lcb=-1.232587 sequence=-106.039211
[plan iscas99__b22] [plan] step=280 node=N18465 type=observe q_pred_lcb=-1.250605 sequence=-107.289817
[plan iscas99__b22] [plan] step=281 node=N18511 type=observe q_pred_lcb=-1.196977 sequence=-108.486794
[plan iscas99__b22] [plan] step=282 node=N18512 type=observe q_pred_lcb=-1.187758 sequence=-109.674552
[plan iscas99__b22] [plan] step=283 node=N18514 type=observe q_pred_lcb=-1.189257 sequence=-110.863809
[plan iscas99__b22] [plan] step=284 node=N18518 type=observe q_pred_lcb=-1.179951 sequence=-112.043760
[plan iscas99__b22] [plan] step=285 node=N18520 type=observe q_pred_lcb=-1.178454 sequence=-113.222214
[plan iscas99__b22] [plan] step=286 node=N18523 type=observe q_pred_lcb=-1.180471 sequence=-114.402685
[plan iscas99__b22] [plan] step=287 node=N19268 type=observe q_pred_lcb=-1.175966 sequence=-115.578651
[plan iscas99__b22] [plan] step=288 node=N19269 type=observe q_pred_lcb=-1.176807 sequence=-116.755458
[plan iscas99__b22] [plan] step=289 node=N19270 type=observe q_pred_lcb=-1.008447 sequence=-117.763905
[plan iscas99__b22] [plan] step=290 node=N18472 type=observe q_pred_lcb=-1.266791 sequence=-119.030696
[plan iscas99__b22] [plan] step=291 node=N24115 type=observe q_pred_lcb=-0.892065 sequence=-119.922762
[plan iscas99__b22] [plan] step=292 node=N24116 type=observe q_pred_lcb=-0.878945 sequence=-120.801707
[plan iscas99__b22] [plan] step=293 node=N24117 type=observe q_pred_lcb=-0.890751 sequence=-121.692458
[plan iscas99__b22] [plan] step=294 node=N24119 type=observe q_pred_lcb=-1.215735 sequence=-122.908193
[plan iscas99__b22] [plan] step=295 node=N24120 type=observe q_pred_lcb=-1.260970 sequence=-124.169163
[plan iscas99__b22] [plan] step=296 node=N18474 type=observe q_pred_lcb=-1.278986 sequence=-125.448149
[plan iscas99__b22] [plan] step=297 node=N24122 type=observe q_pred_lcb=-1.292122 sequence=-126.740271
[plan iscas99__b22] [plan] step=298 node=N18475 type=observe q_pred_lcb=-1.299676 sequence=-128.039947
[plan iscas99__b22] [plan] step=299 node=N24124 type=observe q_pred_lcb=-1.303235 sequence=-129.343182
[plan iscas99__b22] [plan] step=300 node=N24125 type=observe q_pred_lcb=-0.961268 sequence=-130.304450
[plan iscas99__b22] [plan] step=301 node=N24126 type=observe q_pred_lcb=-0.905730 sequence=-131.210180
[plan iscas99__b22] [plan] step=302 node=N24127 type=observe q_pred_lcb=-0.876142 sequence=-132.086323
[plan iscas99__b22] [plan] step=303 node=N24129 type=observe q_pred_lcb=-1.122436 sequence=-133.208759
[plan iscas99__b22] [plan] step=304 node=N24128 type=observe q_pred_lcb=-1.206311 sequence=-134.415071
[plan iscas99__b22] [plan] step=305 node=N24130 type=observe q_pred_lcb=-0.826060 sequence=-135.241131
[plan iscas99__b22] [plan] step=306 node=N24131 type=observe q_pred_lcb=-0.819826 sequence=-136.060957
[plan iscas99__b22] [plan] step=307 node=N24132 type=observe q_pred_lcb=-1.116295 sequence=-137.177252
[plan iscas99__b22] [plan] step=308 node=N24121 type=observe q_pred_lcb=-1.198791 sequence=-138.376043
[plan iscas99__b22] [plan] step=309 node=N24134 type=observe q_pred_lcb=-1.232446 sequence=-139.608489
[plan iscas99__b22] [plan] step=310 node=N26395 type=observe q_pred_lcb=-0.799471 sequence=-140.407960
[plan iscas99__b22] [plan] step=311 node=N26396 type=observe q_pred_lcb=-0.693706 sequence=-141.101666
[plan iscas99__b22] [plan] step=312 node=N26397 type=observe q_pred_lcb=-1.117131 sequence=-142.218797
[plan iscas99__b22] [plan] step=313 node=N26398 type=observe q_pred_lcb=-0.738473 sequence=-142.957270
[plan iscas99__b22] [plan] step=314 node=N26399 type=observe q_pred_lcb=-0.839818 sequence=-143.797088
[plan iscas99__b22] [plan] step=315 node=N24133 type=observe q_pred_lcb=-1.147708 sequence=-144.944796
[plan iscas99__b22] [plan] step=316 node=N26401 type=observe q_pred_lcb=-0.646420 sequence=-145.591216
[plan iscas99__b22] [plan] step=317 node=N26400 type=observe q_pred_lcb=-1.088264 sequence=-146.679481
[plan iscas99__b22] [plan] step=318 node=N26403 type=observe q_pred_lcb=-1.152964 sequence=-147.832445
[plan iscas99__b22] [plan] step=319 node=N26404 type=observe q_pred_lcb=-1.179048 sequence=-149.011492
[plan iscas99__b22] [plan] step=320 node=N26405 type=observe q_pred_lcb=-0.718531 sequence=-149.730023
[plan iscas99__b22] [plan] step=321 node=N26407 type=observe q_pred_lcb=-1.086721 sequence=-150.816744
[plan iscas99__b22] [plan] step=322 node=N26406 type=observe q_pred_lcb=-1.178723 sequence=-151.995467
[plan iscas99__b22] [plan] step=323 node=N26402 type=observe q_pred_lcb=-1.218209 sequence=-153.213676
[plan iscas99__b22] [plan] step=324 node=N26409 type=observe q_pred_lcb=-0.783971 sequence=-153.997647
[plan iscas99__b22] [plan] step=325 node=N26410 type=observe q_pred_lcb=-0.782990 sequence=-154.780637
[plan iscas99__b22] [plan] step=326 node=N18457 type=observe q_pred_lcb=-1.163597 sequence=-155.944234
[plan iscas99__b22] [plan] step=327 node=N19267 type=observe q_pred_lcb=-1.151488 sequence=-157.095722
[plan iscas99__b22] [plan] step=328 node=N12957 type=observe q_pred_lcb=-0.985288 sequence=-158.081010
[plan iscas99__b22] [plan] step=329 node=N19266 type=observe q_pred_lcb=-1.012619 sequence=-159.093629
[plan iscas99__b22] [plan] step=330 node=N1271 type=observe q_pred_lcb=-0.849058 sequence=-159.942687
[plan iscas99__b22] [plan] step=331 node=N4374 type=observe q_pred_lcb=-0.818273 sequence=-160.760960
[plan iscas99__b22] [plan] step=332 node=N4386 type=observe q_pred_lcb=-0.948568 sequence=-161.709527
[plan iscas99__b22] [plan] step=333 node=N4377 type=observe q_pred_lcb=-0.799284 sequence=-162.508812
[plan iscas99__b22] [plan] step=334 node=N4398 type=observe q_pred_lcb=-0.956884 sequence=-163.465696
[plan iscas99__b22] [plan] step=335 node=N4407 type=observe q_pred_lcb=-0.794317 sequence=-164.260012
[plan iscas99__b22] [plan] step=336 node=N4389 type=observe q_pred_lcb=-0.955225 sequence=-165.215237
[plan iscas99__b22] [plan] step=337 node=N4344 type=observe q_pred_lcb=-0.793453 sequence=-166.008690
[plan iscas99__b22] [plan] step=338 node=N4359 type=observe q_pred_lcb=-0.780720 sequence=-166.789410
[plan iscas99__b22] [plan] step=339 node=N4413 type=observe q_pred_lcb=-0.774581 sequence=-167.563991
[plan iscas99__b22] [plan] step=340 node=N4425 type=observe q_pred_lcb=-0.771153 sequence=-168.335144
[plan iscas99__b22] [plan] step=341 node=N4428 type=observe q_pred_lcb=-0.769249 sequence=-169.104394
[plan iscas99__b22] [plan] step=342 node=N4362 type=observe q_pred_lcb=-0.768562 sequence=-169.872956
[plan iscas99__b22] [plan] step=343 node=N4335 type=observe q_pred_lcb=-0.786606 sequence=-170.659562
[plan iscas99__b22] [plan] step=344 node=N3691 type=observe q_pred_lcb=-0.947765 sequence=-171.607327
[plan iscas99__b22] [plan] step=345 node=N3699 type=observe q_pred_lcb=-1.007446 sequence=-172.614772
[plan iscas99__b22] [plan] step=346 node=N3697 type=observe q_pred_lcb=-0.947343 sequence=-173.562115
[plan iscas99__b22] [plan] step=347 node=N3702 type=observe q_pred_lcb=-0.953775 sequence=-174.515890
[plan iscas99__b22] [plan] step=348 node=N3700 type=observe q_pred_lcb=-1.077365 sequence=-175.593255
[plan iscas99__b22] [plan] step=349 node=N3705 type=observe q_pred_lcb=-0.963379 sequence=-176.556634
[plan iscas99__b22] [plan] step=350 node=N3703 type=observe q_pred_lcb=-1.069221 sequence=-177.625855
[plan iscas99__b22] [plan] step=351 node=N3708 type=observe q_pred_lcb=-0.951633 sequence=-178.577488
[plan iscas99__b22] [plan] step=352 node=N3706 type=observe q_pred_lcb=-1.065653 sequence=-179.643142
[plan iscas99__b22] [plan] step=353 node=N3711 type=observe q_pred_lcb=-0.947528 sequence=-180.590670
[plan iscas99__b22] [plan] step=354 node=N3709 type=observe q_pred_lcb=-1.068790 sequence=-181.659460
[plan iscas99__b22] [plan] step=355 node=N3714 type=observe q_pred_lcb=-0.950923 sequence=-182.610383
[plan iscas99__b22] [plan] step=356 node=N3712 type=observe q_pred_lcb=-1.075581 sequence=-183.685963
[plan iscas99__b22] [plan] step=357 node=N3723 type=observe q_pred_lcb=-0.836459 sequence=-184.522422
[plan iscas99__b22] [plan] step=358 node=N3721 type=observe q_pred_lcb=-1.074735 sequence=-185.597156
[plan iscas99__b22] [plan] step=359 node=N3744 type=observe q_pred_lcb=-0.948965 sequence=-186.546122
[plan iscas99__b22] [plan] step=360 node=N3747 type=observe q_pred_lcb=-0.938608 sequence=-187.484729
[plan iscas99__b22] [plan] step=361 node=N3750 type=observe q_pred_lcb=-0.942330 sequence=-188.427060
[plan iscas99__b22] [plan] step=362 node=N3756 type=observe q_pred_lcb=-0.826475 sequence=-189.253534
[plan iscas99__b22] [plan] step=363 node=N3754 type=observe q_pred_lcb=-1.078173 sequence=-190.331707
[plan iscas99__b22] [plan] step=364 node=N3759 type=observe q_pred_lcb=-0.952013 sequence=-191.283720
[plan iscas99__b22] [plan] step=365 node=N3762 type=observe q_pred_lcb=-0.947570 sequence=-192.231291
[plan iscas99__b22] [plan] step=366 node=N3765 type=observe q_pred_lcb=-0.950894 sequence=-193.182185
[plan iscas99__b22] [plan] step=367 node=N3768 type=observe q_pred_lcb=-0.953890 sequence=-194.136075
[plan iscas99__b22] [plan] step=368 node=N3771 type=observe q_pred_lcb=-0.956846 sequence=-195.092921
[plan iscas99__b22] [plan] step=369 node=N3774 type=observe q_pred_lcb=-0.957535 sequence=-196.050456
[plan iscas99__b22] [plan] step=370 node=N3777 type=observe q_pred_lcb=-0.958523 sequence=-197.008978
[plan iscas99__b22] [plan] step=371 node=N3780 type=observe q_pred_lcb=-0.958007 sequence=-197.966985
[plan iscas99__b22] [plan] step=372 node=N3783 type=observe q_pred_lcb=-0.958729 sequence=-198.925715
[plan iscas99__b22] [plan] step=373 node=N3786 type=observe q_pred_lcb=-0.958490 sequence=-199.884205
[plan iscas99__b22] [plan] step=374 node=N3789 type=observe q_pred_lcb=-0.842220 sequence=-200.726425
[plan iscas99__b22] [plan] step=375 node=N3787 type=observe q_pred_lcb=-1.069520 sequence=-201.795946
[plan iscas99__b22] [plan] step=376 node=N3792 type=observe q_pred_lcb=-1.024914 sequence=-202.820860
[plan iscas99__b22] [plan] step=377 node=N3790 type=observe q_pred_lcb=-1.075441 sequence=-203.896301
[plan iscas99__b22] [plan] step=378 node=N3795 type=observe q_pred_lcb=-1.083090 sequence=-204.979391
[plan iscas99__b22] [plan] step=379 node=N3798 type=observe q_pred_lcb=-0.959641 sequence=-205.939032
[plan iscas99__b22] [plan] step=380 node=N3799 type=observe q_pred_lcb=-1.086290 sequence=-207.025322
[plan iscas99__b22] [plan] step=381 node=N3802 type=observe q_pred_lcb=-0.966375 sequence=-207.991697
[plan iscas99__b22] [plan] step=382 node=N3803 type=observe q_pred_lcb=-1.093316 sequence=-209.085012
[plan iscas99__b22] [plan] step=383 node=N3804 type=observe q_pred_lcb=-0.857215 sequence=-209.942228
[plan iscas99__b22] [plan] step=384 node=N3807 type=observe q_pred_lcb=-1.079163 sequence=-211.021391
[plan iscas99__b22] [plan] step=385 node=N3808 type=observe q_pred_lcb=-0.846267 sequence=-211.867657
[plan iscas99__b22] [plan] step=386 node=N3811 type=observe q_pred_lcb=-1.078185 sequence=-212.945842
[plan iscas99__b22] [plan] step=387 node=N3812 type=observe q_pred_lcb=-0.836462 sequence=-213.782305
[plan iscas99__b22] [plan] step=388 node=N3815 type=observe q_pred_lcb=-1.075868 sequence=-214.858172
[plan iscas99__b22] [plan] step=389 node=N3816 type=observe q_pred_lcb=-0.825840 sequence=-215.684012
[plan iscas99__b22] [plan] step=390 node=N3828 type=observe q_pred_lcb=-0.998158 sequence=-216.682170
[plan iscas99__b22] [plan] step=391 node=N3849 type=observe q_pred_lcb=-0.861816 sequence=-217.543986
[plan iscas99__b22] [plan] step=392 node=N3853 type=observe q_pred_lcb=-0.711291 sequence=-218.255277
[plan iscas99__b22] [plan] step=393 node=N3857 type=observe q_pred_lcb=-0.679287 sequence=-218.934564
[plan iscas99__b22] [plan] step=394 node=N3861 type=observe q_pred_lcb=-0.836368 sequence=-219.770931
[plan iscas99__b22] [plan] step=395 node=N3862 type=observe q_pred_lcb=-0.859757 sequence=-220.630688
[plan iscas99__b22] [plan] step=396 node=N3865 type=observe q_pred_lcb=-0.867289 sequence=-221.497977
[plan iscas99__b22] [plan] step=397 node=N3866 type=observe q_pred_lcb=-0.879986 sequence=-222.377963
[plan iscas99__b22] [plan] step=398 node=N3872 type=observe q_pred_lcb=-0.914416 sequence=-223.292379
[plan iscas99__b22] [plan] step=399 node=N3873 type=observe q_pred_lcb=-0.846076 sequence=-224.138454
[plan iscas99__b22] [plan] step=400 node=N3877 type=observe q_pred_lcb=-0.846378 sequence=-224.984832
[plan iscas99__b22] [plan] step=401 node=N3878 type=observe q_pred_lcb=-0.857298 sequence=-225.842130
[plan iscas99__b22] [plan] step=402 node=N3881 type=observe q_pred_lcb=-0.853133 sequence=-226.695263
[plan iscas99__b22] [plan] step=403 node=N3882 type=observe q_pred_lcb=-0.854194 sequence=-227.549457
[plan iscas99__b22] [plan] step=404 node=N3885 type=observe q_pred_lcb=-0.851366 sequence=-228.400823
[plan iscas99__b22] [plan] step=405 node=N3886 type=observe q_pred_lcb=-0.843721 sequence=-229.244544
[plan iscas99__b22] [plan] step=406 node=N3889 type=observe q_pred_lcb=-0.838372 sequence=-230.082916
[plan iscas99__b22] [plan] step=407 node=N3890 type=observe q_pred_lcb=-0.834088 sequence=-230.917004
[plan iscas99__b22] [plan] step=408 node=N3893 type=observe q_pred_lcb=-0.830471 sequence=-231.747476
[plan iscas99__b22] [plan] step=409 node=N3894 type=observe q_pred_lcb=-0.832325 sequence=-232.579801
[plan iscas99__b22] [plan] step=410 node=N3897 type=observe q_pred_lcb=-0.836665 sequence=-233.416465
[plan iscas99__b22] [plan] step=411 node=N3898 type=observe q_pred_lcb=-0.842106 sequence=-234.258572
[plan iscas99__b22] [plan] step=412 node=N3901 type=observe q_pred_lcb=-0.840604 sequence=-235.099175
[plan iscas99__b22] [plan] step=413 node=N3902 type=observe q_pred_lcb=-0.847164 sequence=-235.946339
[plan iscas99__b22] [plan] step=414 node=N3905 type=observe q_pred_lcb=-0.846523 sequence=-236.792863
[plan iscas99__b22] [plan] step=415 node=N3906 type=observe q_pred_lcb=-0.682564 sequence=-237.475427
[plan iscas99__b22] [plan] step=416 node=N3909 type=observe q_pred_lcb=-0.805888 sequence=-238.281315
[plan iscas99__b22] [plan] step=417 node=N3910 type=observe q_pred_lcb=-0.665960 sequence=-238.947275
[plan iscas99__b22] [plan] step=418 node=N3916 type=observe q_pred_lcb=-0.894611 sequence=-239.841886
[plan iscas99__b22] [plan] step=419 node=N3917 type=observe q_pred_lcb=-1.008832 sequence=-240.850718
[plan iscas99__b22] [plan] step=420 node=N3918 type=observe q_pred_lcb=-0.927616 sequence=-241.778334
[plan iscas99__b22] [plan] step=421 node=N3698 type=observe q_pred_lcb=-0.658008 sequence=-242.436342
[plan iscas99__b22] [plan] step=422 node=N3701 type=observe q_pred_lcb=-0.608974 sequence=-243.045316
[plan iscas99__b22] [plan] step=423 node=N3704 type=observe q_pred_lcb=-0.810314 sequence=-243.855630
[plan iscas99__b22] [plan] step=424 node=N3707 type=observe q_pred_lcb=-0.820288 sequence=-244.675917
[plan iscas99__b22] [plan] step=425 node=N3710 type=observe q_pred_lcb=-0.847129 sequence=-245.523046
[plan iscas99__b22] [plan] step=426 node=N3713 type=observe q_pred_lcb=-0.852122 sequence=-246.375168
[plan iscas99__b22] [plan] step=427 node=N3722 type=observe q_pred_lcb=-0.852882 sequence=-247.228050
[plan iscas99__b22] [plan] step=428 node=N3736 type=observe q_pred_lcb=-0.855772 sequence=-248.083822
[plan iscas99__b22] [plan] step=429 node=N3739 type=observe q_pred_lcb=-0.857255 sequence=-248.941077
[plan iscas99__b22] [plan] step=430 node=N3742 type=observe q_pred_lcb=-0.857358 sequence=-249.798435
[plan iscas99__b22] [plan] step=431 node=N3745 type=observe q_pred_lcb=-0.857385 sequence=-250.655820
[plan iscas99__b22] [plan] step=432 node=N3748 type=observe q_pred_lcb=-0.856803 sequence=-251.512623
[plan iscas99__b22] [plan] step=433 node=N3751 type=observe q_pred_lcb=-0.858479 sequence=-252.371102
[plan iscas99__b22] [plan] step=434 node=N3755 type=observe q_pred_lcb=-0.857468 sequence=-253.228570
[plan iscas99__b22] [plan] step=435 node=N3757 type=observe q_pred_lcb=-0.858485 sequence=-254.087056
[plan iscas99__b22] [plan] step=436 node=N3760 type=observe q_pred_lcb=-0.861172 sequence=-254.948227
[plan iscas99__b22] [plan] step=437 node=N3761 type=observe q_pred_lcb=-0.860735 sequence=-255.808962
[plan iscas99__b22] [plan] step=438 node=N3763 type=observe q_pred_lcb=-0.860746 sequence=-256.669708
[plan iscas99__b22] [plan] step=439 node=N3764 type=observe q_pred_lcb=-0.859136 sequence=-257.528844
[plan iscas99__b22] [plan] step=440 node=N3766 type=observe q_pred_lcb=-0.859982 sequence=-258.388827
[plan iscas99__b22] [plan] step=441 node=N3767 type=observe q_pred_lcb=-0.859130 sequence=-259.247957
[plan iscas99__b22] [plan] step=442 node=N3769 type=observe q_pred_lcb=-0.859138 sequence=-260.107095
[plan iscas99__b22] [plan] step=443 node=N3770 type=observe q_pred_lcb=-0.857846 sequence=-260.964940
[plan iscas99__b22] [plan] step=444 node=N3772 type=observe q_pred_lcb=-0.859646 sequence=-261.824587
[plan iscas99__b22] [plan] step=445 node=N3773 type=observe q_pred_lcb=-0.692803 sequence=-262.517389
[plan iscas99__b22] [plan] step=446 node=N3775 type=observe q_pred_lcb=-0.813443 sequence=-263.330832
[plan iscas99__b22] [plan] step=447 node=N3776 type=observe q_pred_lcb=-0.673733 sequence=-264.004565
[plan iscas99__b22] [plan] step=448 node=N3778 type=observe q_pred_lcb=-0.806819 sequence=-264.811384
[plan iscas99__b22] [plan] step=449 node=N3779 type=observe q_pred_lcb=-0.665983 sequence=-265.477367
[plan iscas99__b22] [plan] step=450 node=N3781 type=observe q_pred_lcb=-0.806044 sequence=-266.283411
[plan iscas99__b22] [plan] step=451 node=N3782 type=observe q_pred_lcb=-0.659868 sequence=-266.943279
[plan iscas99__b22] [plan] step=452 node=N3784 type=observe q_pred_lcb=-0.995180 sequence=-267.938459
[plan iscas99__b22] [plan] step=453 node=N3785 type=observe q_pred_lcb=-0.684512 sequence=-268.622971
[plan iscas99__b22] [plan] step=454 node=N3788 type=observe q_pred_lcb=-0.802160 sequence=-269.425131
[plan iscas99__b22] [plan] step=455 node=N3791 type=observe q_pred_lcb=-0.645604 sequence=-270.070735
[plan iscas99__b22] [plan] step=456 node=N3796 type=observe q_pred_lcb=-0.809357 sequence=-270.880092
[plan iscas99__b22] [plan] step=457 node=N3797 type=observe q_pred_lcb=-0.828575 sequence=-271.708667
[plan iscas99__b22] [plan] step=458 node=N3800 type=observe q_pred_lcb=-0.667430 sequence=-272.376097
[plan iscas99__b22] [plan] step=459 node=N3801 type=observe q_pred_lcb=-0.816369 sequence=-273.192466
[plan iscas99__b22] [plan] step=460 node=N3805 type=observe q_pred_lcb=-0.831812 sequence=-274.024279
[plan iscas99__b22] [plan] step=461 node=N3806 type=observe q_pred_lcb=-0.841745 sequence=-274.866024
[plan iscas99__b22] [plan] step=462 node=N3809 type=observe q_pred_lcb=-0.844192 sequence=-275.710216
[plan iscas99__b22] [plan] step=463 node=N3810 type=observe q_pred_lcb=-0.846150 sequence=-276.556366
[plan iscas99__b22] [plan] step=464 node=N3813 type=observe q_pred_lcb=-0.845595 sequence=-277.401960
[plan iscas99__b22] [plan] step=465 node=N3814 type=observe q_pred_lcb=-1.024770 sequence=-278.426730
[plan iscas99__b22] [plan] step=466 node=N3817 type=observe q_pred_lcb=-0.868619 sequence=-279.295349
[plan iscas99__b22] [plan] step=467 node=N3818 type=observe q_pred_lcb=-1.025641 sequence=-280.320990
[plan iscas99__b22] [plan] step=468 node=N3825 type=observe q_pred_lcb=-1.049690 sequence=-281.370680
[plan iscas99__b22] [plan] step=469 node=N3826 type=observe q_pred_lcb=-0.955919 sequence=-282.326599
[plan iscas99__b22] [plan] step=470 node=N3827 type=observe q_pred_lcb=-0.848504 sequence=-283.175102
[plan iscas99__b22] [plan] step=471 node=N3844 type=observe q_pred_lcb=-0.849672 sequence=-284.024775
[plan iscas99__b22] [plan] step=472 node=N3848 type=observe q_pred_lcb=-0.865920 sequence=-284.890695
[plan iscas99__b22] [plan] step=473 node=N3852 type=observe q_pred_lcb=-0.875152 sequence=-285.765847
[plan iscas99__b22] [plan] step=474 node=N3856 type=observe q_pred_lcb=-0.876237 sequence=-286.642084
[plan iscas99__b22] [plan] step=475 node=N3860 type=observe q_pred_lcb=-0.877092 sequence=-287.519176
[plan iscas99__b22] [plan] step=476 node=N3864 type=observe q_pred_lcb=-0.877249 sequence=-288.396425
[plan iscas99__b22] [plan] step=477 node=N3868 type=observe q_pred_lcb=-0.876512 sequence=-289.272936
[plan iscas99__b22] [plan] step=478 node=N3869 type=observe q_pred_lcb=-1.057983 sequence=-290.330920
[plan iscas99__b22] [plan] step=479 node=N3870 type=observe q_pred_lcb=-0.989127 sequence=-291.320047
[plan iscas99__b22] [plan] step=480 node=N3871 type=observe q_pred_lcb=-0.855171 sequence=-292.175218
[plan iscas99__b22] [plan] step=481 node=N3876 type=observe q_pred_lcb=-0.852455 sequence=-293.027673
[plan iscas99__b22] [plan] step=482 node=N3879 type=observe q_pred_lcb=-0.864711 sequence=-293.892383
[plan iscas99__b22] [plan] step=483 node=N3880 type=observe q_pred_lcb=-0.869124 sequence=-294.761508
[plan iscas99__b22] [plan] step=484 node=N3883 type=observe q_pred_lcb=-0.869600 sequence=-295.631108
[plan iscas99__b22] [plan] step=485 node=N3884 type=observe q_pred_lcb=-0.870935 sequence=-296.502042
[plan iscas99__b22] [plan] step=486 node=N3887 type=observe q_pred_lcb=-0.867906 sequence=-297.369948
[plan iscas99__b22] [plan] step=487 node=N3888 type=observe q_pred_lcb=-0.868891 sequence=-298.238839
[plan iscas99__b22] [plan] step=488 node=N3891 type=observe q_pred_lcb=-0.867484 sequence=-299.106324
[plan iscas99__b22] [plan] step=489 node=N3892 type=observe q_pred_lcb=-0.869622 sequence=-299.975946
[plan iscas99__b22] [plan] step=490 node=N3895 type=observe q_pred_lcb=-0.867730 sequence=-300.843675
[plan iscas99__b22] [plan] step=491 node=N3896 type=observe q_pred_lcb=-0.869129 sequence=-301.712805
[plan iscas99__b22] [plan] step=492 node=N3899 type=observe q_pred_lcb=-0.868273 sequence=-302.581078
[plan iscas99__b22] [plan] step=493 node=N3900 type=observe q_pred_lcb=-0.869933 sequence=-303.451010
[plan iscas99__b22] [plan] step=494 node=N3903 type=observe q_pred_lcb=-0.867086 sequence=-304.318096
[plan iscas99__b22] [plan] step=495 node=N3904 type=observe q_pred_lcb=-0.868834 sequence=-305.186930
[plan iscas99__b22] [plan] step=496 node=N3907 type=observe q_pred_lcb=-0.868028 sequence=-306.054958
[plan iscas99__b22] [plan] step=497 node=N3908 type=observe q_pred_lcb=-0.869371 sequence=-306.924329
[plan iscas99__b22] [plan] step=498 node=N3911 type=observe q_pred_lcb=-0.867247 sequence=-307.791576
[plan iscas99__b22] [plan] step=499 node=N3912 type=observe q_pred_lcb=-0.868376 sequence=-308.659953
[plan iscas99__b22] [plan] step=500 node=N3913 type=observe q_pred_lcb=-1.038639 sequence=-309.698591
[plan iscas99__b22] [plan] step=501 node=N3914 type=observe q_pred_lcb=-0.964230 sequence=-310.662821
[plan iscas99__b22] [plan] step=502 node=N3915 type=observe q_pred_lcb=-1.024596 sequence=-311.687418
[plan iscas99__b22] [plan] step=503 node=N3919 type=observe q_pred_lcb=-1.036826 sequence=-312.724243
[plan iscas99__b22] [plan] step=504 node=N4333 type=observe q_pred_lcb=0.487008 sequence=-312.237236
[plan iscas99__b22] [plan] step=505 node=N4334 type=observe q_pred_lcb=-0.517652 sequence=-312.754887
[plan iscas99__b22] [plan] step=506 node=N4336 type=observe q_pred_lcb=0.489052 sequence=-312.265835
[plan iscas99__b22] [plan] step=507 node=N4337 type=observe q_pred_lcb=-0.428084 sequence=-312.693919
[plan iscas99__b22] [plan] step=508 node=N4338 type=observe q_pred_lcb=-0.401954 sequence=-313.095873
