[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 budgets=iscas99__b15_1:278
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T18:57:19 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=175 node=N2072 type=observe q_typed_residual_context=0.799363 sequence=417.446060
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=176 node=N7439 type=observe q_typed_residual_context=6.930483 sequence=424.376543
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=177 node=N5422 type=observe q_typed_residual_context=5.405548 sequence=429.782091
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=178 node=N715 type=observe q_typed_residual_context=6.791089 sequence=436.573180
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=179 node=N2652 type=control1 q_typed_residual_context=7.189275 sequence=443.762455
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=180 node=N763 type=observe q_typed_residual_context=0.688674 sequence=444.451129
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=181 node=N703 type=observe q_typed_residual_context=1.135446 sequence=445.586575
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=182 node=N5439 type=observe q_typed_residual_context=6.547401 sequence=452.133976
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=183 node=N679 type=observe q_typed_residual_context=5.948072 sequence=458.082047
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=184 node=N7404 type=observe q_typed_residual_context=4.702560 sequence=462.784607
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=185 node=N5390 type=observe q_typed_residual_context=1.303461 sequence=464.088069
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=186 node=N2721 type=control1 q_typed_residual_context=1.951207 sequence=466.039276
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=187 node=N6660 type=observe q_typed_residual_context=1.893513 sequence=467.932789
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=188 node=N2894 type=control1 q_typed_residual_context=1.332083 sequence=469.264872
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=189 node=N5334 type=observe q_typed_residual_context=0.930818 sequence=470.195690
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=190 node=N719 type=observe q_typed_residual_context=3.027191 sequence=473.222881
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=191 node=N2952 type=control1 q_typed_residual_context=3.012337 sequence=476.235218
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=192 node=N2779 type=control1 q_typed_residual_context=1.431944 sequence=477.667162
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=193 node=N7382 type=observe q_typed_residual_context=1.332515 sequence=478.999677
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=194 node=N6682 type=observe q_typed_residual_context=0.568056 sequence=479.567733
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=195 node=N734 type=observe q_typed_residual_context=2.741263 sequence=482.308996
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=196 node=N699 type=observe q_typed_residual_context=3.845407 sequence=486.154403
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=197 node=N5373 type=observe q_typed_residual_context=1.880880 sequence=488.035283
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=198 node=N2151 type=observe q_typed_residual_context=1.654411 sequence=489.689693
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=199 node=N7380 type=observe q_typed_residual_context=1.671964 sequence=491.361657
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=200 node=N6685 type=observe q_typed_residual_context=0.496785 sequence=491.858442
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=201 node=N1351 type=observe q_typed_residual_context=1.297999 sequence=493.156441
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=202 node=N686 type=observe q_typed_residual_context=3.864464 sequence=497.020905
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=203 node=N753 type=observe q_typed_residual_context=1.890553 sequence=498.911458
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=204 node=N689 type=observe q_typed_residual_context=6.730789 sequence=505.642247
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=205 node=N729 type=observe q_typed_residual_context=2.542766 sequence=508.185014
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=206 node=N684 type=observe q_typed_residual_context=3.331874 sequence=511.516888
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=207 node=N7381 type=observe q_typed_residual_context=4.598060 sequence=516.114948
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=208 node=N5735 type=observe q_typed_residual_context=1.679050 sequence=517.793998
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=209 node=N2243 type=observe q_typed_residual_context=2.715713 sequence=520.509711
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=210 node=N6658 type=observe q_typed_residual_context=2.795618 sequence=523.305329
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=211 node=N2159 type=observe q_typed_residual_context=2.743497 sequence=526.048827
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=212 node=N2271 type=observe q_typed_residual_context=3.449689 sequence=529.498516
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=213 node=N7443 type=observe q_typed_residual_context=5.830000 sequence=535.328516
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=214 node=N5094 type=observe q_typed_residual_context=2.510532 sequence=537.839048
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=215 node=N2259 type=observe q_typed_residual_context=6.252112 sequence=544.091160
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=216 node=N5160 type=observe q_typed_residual_context=6.081969 sequence=550.173129
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=217 node=N6656 type=observe q_typed_residual_context=6.840556 sequence=557.013685
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=218 node=N752 type=observe q_typed_residual_context=2.757666 sequence=559.771351
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=219 node=N2263 type=observe q_typed_residual_context=6.144969 sequence=565.916320
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=220 node=N696 type=observe q_typed_residual_context=4.353108 sequence=570.269428
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=221 node=N7444 type=observe q_typed_residual_context=1.591801 sequence=571.861230
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=222 node=N2267 type=observe q_typed_residual_context=7.235846 sequence=579.097076
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=223 node=N5111 type=observe q_typed_residual_context=0.414596 sequence=579.511672
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=224 node=N6537 type=observe q_typed_residual_context=6.821769 sequence=586.333441
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=225 node=N2251 type=observe q_typed_residual_context=3.834650 sequence=590.168091
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=226 node=N2837 type=control1 q_typed_residual_context=6.152801 sequence=596.320892
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=227 node=N3009 type=control1 q_typed_residual_context=7.161905 sequence=603.482797
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=228 node=N695 type=observe q_typed_residual_context=2.960830 sequence=606.443626
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=229 node=N2247 type=observe q_typed_residual_context=5.597199 sequence=612.040826
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=230 node=N697 type=observe q_typed_residual_context=4.614945 sequence=616.655771
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=231 node=N7589 type=control1 q_typed_residual_context=3.820273 sequence=620.476044
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=232 node=N7391 type=observe q_typed_residual_context=0.671992 sequence=621.148036
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=233 node=N1879 type=observe q_typed_residual_context=1.157161 sequence=622.305197
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=234 node=N765 type=observe q_typed_residual_context=0.464781 sequence=622.769979
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=235 node=N1352 type=observe q_typed_residual_context=7.752202 sequence=630.522180
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=236 node=N2218 type=observe q_typed_residual_context=7.338103 sequence=637.860283
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=237 node=N680 type=observe q_typed_residual_context=5.925936 sequence=643.786219
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=238 node=N732 type=observe q_typed_residual_context=5.875036 sequence=649.661255
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=239 node=N7452 type=observe q_typed_residual_context=6.829942 sequence=656.491196
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=240 node=N7440 type=observe q_typed_residual_context=2.963119 sequence=659.454315
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=241 node=N628 type=control1 q_typed_residual_context=0.872923 sequence=660.327239
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=242 node=N758 type=observe q_typed_residual_context=5.250909 sequence=665.578148
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=243 node=N2203 type=observe q_typed_residual_context=6.416122 sequence=671.994269
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=244 node=N2255 type=observe q_typed_residual_context=2.152534 sequence=674.146804
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=245 node=N3067 type=control1 q_typed_residual_context=6.171289 sequence=680.318092
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=246 node=N8790 type=control1 q_typed_residual_context=6.692329 sequence=687.010421
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=247 node=N2183 type=observe q_typed_residual_context=5.747918 sequence=692.758339
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=248 node=N8240 type=control1 q_typed_residual_context=6.493312 sequence=699.251651
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=249 node=N717 type=observe q_typed_residual_context=5.071314 sequence=704.322965
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=250 node=N2216 type=observe q_typed_residual_context=5.951389 sequence=710.274355
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=251 node=N8789 type=control1 q_typed_residual_context=4.864309 sequence=715.138664
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=252 node=N8239 type=control1 q_typed_residual_context=3.647062 sequence=718.785726
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=253 node=N8607 type=control1 q_typed_residual_context=3.491139 sequence=722.276864
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=254 node=N7512 type=control1 q_typed_residual_context=5.087163 sequence=727.364027
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=255 node=N4900 type=observe q_typed_residual_context=4.425166 sequence=731.789193
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=256 node=N6680 type=observe q_typed_residual_context=5.035802 sequence=736.824995
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=257 node=N2185 type=observe q_typed_residual_context=4.407042 sequence=741.232036
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=258 node=N652 type=control1 q_typed_residual_context=6.559502 sequence=747.791539
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=259 node=N8238 type=control1 q_typed_residual_context=7.382997 sequence=755.174536
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=260 node=N8606 type=control1 q_typed_residual_context=7.367164 sequence=762.541700
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=261 node=N733 type=observe q_typed_residual_context=6.699583 sequence=769.241283
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=262 node=N8237 type=control1 q_typed_residual_context=7.327481 sequence=776.568763
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=263 node=N2205 type=observe q_typed_residual_context=6.346398 sequence=782.915162
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=264 node=N735 type=observe q_typed_residual_context=6.512138 sequence=789.427300
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=265 node=N902 type=control1 q_typed_residual_context=6.911207 sequence=796.338507
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=266 node=N2201 type=observe q_typed_residual_context=6.350969 sequence=802.689476
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=267 node=N6562 type=observe q_typed_residual_context=6.156004 sequence=808.845480
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=268 node=N8605 type=control1 q_typed_residual_context=3.938496 sequence=812.783976
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=269 node=N7855 type=control0 q_typed_residual_context=7.233022 sequence=820.016998
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=270 node=N8236 type=control1 q_typed_residual_context=7.397004 sequence=827.414002
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=271 node=N515 type=control1 q_typed_residual_context=6.655641 sequence=834.069643
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=272 node=N2226 type=observe q_typed_residual_context=6.563477 sequence=840.633120
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=273 node=N1348 type=observe q_typed_residual_context=6.640429 sequence=847.273550
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=274 node=N2212 type=observe q_typed_residual_context=4.167035 sequence=851.440585
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=275 node=N2214 type=observe q_typed_residual_context=5.360643 sequence=856.801227
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=276 node=N1598 type=observe q_typed_residual_context=1.357732 sequence=858.158959
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=277 node=N1347 type=observe q_typed_residual_context=5.255472 sequence=863.414431
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] [plan] step=278 node=N6684 type=observe q_typed_residual_context=3.914652 sequence=867.329083
[b15-round2/typed_long/alpha_0p10] [plan iscas99__b15_1] saved=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10/plans/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T19:00:04 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=165.099 plan_csv=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10/plans/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T19:00:04 [1/1] eval_start benchmark=iscas99__b15_1 backend=atalanta-bist patterns=300000
[b15-round2/typed_long/alpha_0p10] [eval iscas99__b15_1] {
[b15-round2/typed_long/alpha_0p10] [eval iscas99__b15_1]   "records": 2,
[b15-round2/typed_long/alpha_0p10] [eval iscas99__b15_1]   "labels_csv": "autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10/evals/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/labels.csv",
[b15-round2/typed_long/alpha_0p10] [eval iscas99__b15_1]   "summary_json": "autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_long/alpha_0p10/evals/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/summary.json"
[b15-round2/typed_long/alpha_0p10] [eval iscas99__b15_1] }
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T19:00:10 [1/1] eval_done benchmark=iscas99__b15_1 delta_tc=0.12512 plan_sec=165.099 eval_sec=6.072 total_sec=171.187
[b15-round2/typed_long/alpha_0p10] [gmean] 2026-07-20T19:00:10 variant_done id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0 status=ok macro=0.12512 positives=1 negatives=0 elapsed=171.188
