[gmean] 2026-07-16T14:50:27 out_dir=autoresearch/improve-260716-1344/round3_b17/context_recall_c192
[gmean] 2026-07-16T14:50:27 budgets=iscas99__b17:994
[gmean] 2026-07-16T14:50:27 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c192__g1p0__candheuristic_recall_pool__div0p0__s0
[gmean] 2026-07-16T14:50:27 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] step=267 node=N26381 type=observe q_pred_context=4.593819 sequence=731.286278
[plan iscas99__b17] [plan] step=268 node=N26382 type=observe q_pred_context=5.122336 sequence=736.408614
[plan iscas99__b17] [plan] step=269 node=N26340 type=observe q_pred_context=6.396803 sequence=742.805417
[plan iscas99__b17] [plan] step=270 node=N26375 type=observe q_pred_context=6.859326 sequence=749.664743
[plan iscas99__b17] [plan] step=271 node=N26388 type=observe q_pred_context=6.740347 sequence=756.405090
[plan iscas99__b17] [plan] step=272 node=N26389 type=observe q_pred_context=6.499071 sequence=762.904160
[plan iscas99__b17] [plan] step=273 node=N26400 type=observe q_pred_context=4.404683 sequence=767.308843
[plan iscas99__b17] [plan] step=274 node=N26407 type=observe q_pred_context=4.215083 sequence=771.523927
[plan iscas99__b17] [plan] step=275 node=N26414 type=observe q_pred_context=4.044858 sequence=775.568784
[plan iscas99__b17] [plan] step=276 node=N26307 type=observe q_pred_context=3.822799 sequence=779.391584
[plan iscas99__b17] [plan] step=277 node=N26421 type=observe q_pred_context=3.408016 sequence=782.799599
[plan iscas99__b17] [plan] step=278 node=N28847 type=control0 q_pred_context=1.088073 sequence=783.887672
[plan iscas99__b17] [plan] step=279 node=N28805 type=control0 q_pred_context=1.051688 sequence=784.939360
[plan iscas99__b17] [plan] step=280 node=N5749 type=observe q_pred_context=0.674521 sequence=785.613881
[plan iscas99__b17] [plan] step=281 node=N28756 type=observe q_pred_context=1.181627 sequence=786.795507
[plan iscas99__b17] [plan] step=282 node=N26437 type=observe q_pred_context=3.314895 sequence=790.110402
[plan iscas99__b17] [plan] step=283 node=N19335 type=observe q_pred_context=0.738124 sequence=790.848526
[plan iscas99__b17] [plan] step=284 node=N5605 type=observe q_pred_context=0.965651 sequence=791.814177
[plan iscas99__b17] [plan] step=285 node=N5750 type=observe q_pred_context=1.185963 sequence=793.000140
[plan iscas99__b17] [plan] step=286 node=N5918 type=observe q_pred_context=1.219931 sequence=794.220072
[plan iscas99__b17] [plan] step=287 node=N5653 type=observe q_pred_context=1.487922 sequence=795.707994
[plan iscas99__b17] [plan] step=288 node=N5581 type=observe q_pred_context=2.019284 sequence=797.727278
[plan iscas99__b17] [plan] step=289 node=N5629 type=observe q_pred_context=3.491585 sequence=801.218864
[plan iscas99__b17] [plan] step=290 node=N5342 type=observe q_pred_context=6.517463 sequence=807.736327
[plan iscas99__b17] [plan] step=291 node=N5437 type=observe q_pred_context=6.197909 sequence=813.934236
[plan iscas99__b17] [plan] step=292 node=N31086 type=control1 q_pred_context=5.397105 sequence=819.331341
[plan iscas99__b17] [plan] step=293 node=N7633 type=observe q_pred_context=5.239321 sequence=824.570662
[plan iscas99__b17] [plan] step=294 node=N5389 type=observe q_pred_context=1.236183 sequence=825.806845
[plan iscas99__b17] [plan] step=295 node=N7644 type=observe q_pred_context=1.321826 sequence=827.128671
[plan iscas99__b17] [plan] step=296 node=N5677 type=observe q_pred_context=1.511047 sequence=828.639718
[plan iscas99__b17] [plan] step=297 node=N5413 type=observe q_pred_context=1.840514 sequence=830.480232
[plan iscas99__b17] [plan] step=298 node=N5365 type=observe q_pred_context=1.603020 sequence=832.083252
[plan iscas99__b17] [plan] step=299 node=N5461 type=observe q_pred_context=1.704227 sequence=833.787479
[plan iscas99__b17] [plan] step=300 node=N5486 type=observe q_pred_context=1.791601 sequence=835.579081
[plan iscas99__b17] [plan] step=301 node=N2198 type=control1 q_pred_context=2.137483 sequence=837.716564
[plan iscas99__b17] [plan] step=302 node=N28167 type=observe q_pred_context=1.053411 sequence=838.769974
[plan iscas99__b17] [plan] step=303 node=N28174 type=observe q_pred_context=1.988923 sequence=840.758897
[plan iscas99__b17] [plan] step=304 node=N28160 type=observe q_pred_context=1.891059 sequence=842.649956
[plan iscas99__b17] [plan] step=305 node=N19333 type=observe q_pred_context=1.865600 sequence=844.515555
[plan iscas99__b17] [plan] step=306 node=N19733 type=observe q_pred_context=2.184939 sequence=846.700494
[plan iscas99__b17] [plan] step=307 node=N30855 type=observe q_pred_context=3.149806 sequence=849.850300
[plan iscas99__b17] [plan] step=308 node=N19728 type=observe q_pred_context=2.756514 sequence=852.606814
[plan iscas99__b17] [plan] step=309 node=N21555 type=observe q_pred_context=1.100985 sequence=853.707799
[plan iscas99__b17] [plan] step=310 node=N23737 type=observe q_pred_context=0.891892 sequence=854.599691
[plan iscas99__b17] [plan] step=311 node=N5846 type=observe q_pred_context=0.967177 sequence=855.566869
[plan iscas99__b17] [plan] step=312 node=N6014 type=observe q_pred_context=0.876780 sequence=856.443648
[plan iscas99__b17] [plan] step=313 node=N6013 type=observe q_pred_context=1.706281 sequence=858.149929
[plan iscas99__b17] [plan] step=314 node=N19722 type=observe q_pred_context=1.823076 sequence=859.973005
[plan iscas99__b17] [plan] step=315 node=N19721 type=observe q_pred_context=2.097962 sequence=862.070966
[plan iscas99__b17] [plan] step=316 node=N19736 type=observe q_pred_context=1.299327 sequence=863.370293
[plan iscas99__b17] [plan] step=317 node=N30012 type=observe q_pred_context=0.943558 sequence=864.313851
[plan iscas99__b17] [plan] step=318 node=N19735 type=observe q_pred_context=0.816323 sequence=865.130174
[plan iscas99__b17] [plan] step=319 node=N19734 type=observe q_pred_context=0.819453 sequence=865.949627
[plan iscas99__b17] [plan] step=320 node=N22496 type=observe q_pred_context=1.063249 sequence=867.012876
[plan iscas99__b17] [plan] step=321 node=N19329 type=observe q_pred_context=0.829674 sequence=867.842549
[plan iscas99__b17] [plan] step=322 node=N20155 type=observe q_pred_context=0.859038 sequence=868.701587
[plan iscas99__b17] [plan] step=323 node=N23921 type=observe q_pred_context=0.858999 sequence=869.560587
[plan iscas99__b17] [plan] step=324 node=N23218 type=observe q_pred_context=0.845351 sequence=870.405937
[plan iscas99__b17] [plan] step=325 node=N24475 type=observe q_pred_context=1.134789 sequence=871.540727
[plan iscas99__b17] [plan] step=326 node=N25621 type=observe q_pred_context=1.152852 sequence=872.693579
[plan iscas99__b17] [plan] step=327 node=N23037 type=observe q_pred_context=1.147945 sequence=873.841524
[plan iscas99__b17] [plan] step=328 node=N25442 type=observe q_pred_context=1.124687 sequence=874.966212
[plan iscas99__b17] [plan] step=329 node=N24105 type=observe q_pred_context=1.099840 sequence=876.066051
[plan iscas99__b17] [plan] step=330 node=N21744 type=observe q_pred_context=1.072940 sequence=877.138991
[plan iscas99__b17] [plan] step=331 node=N23555 type=observe q_pred_context=1.046745 sequence=878.185736
[plan iscas99__b17] [plan] step=332 node=N22174 type=observe q_pred_context=1.043268 sequence=879.229004
[plan iscas99__b17] [plan] step=333 node=N19969 type=observe q_pred_context=1.060984 sequence=880.289988
[plan iscas99__b17] [plan] step=334 node=N24690 type=observe q_pred_context=1.080486 sequence=881.370474
[plan iscas99__b17] [plan] step=335 node=N31053 type=observe q_pred_context=1.100525 sequence=882.470999
[plan iscas99__b17] [plan] step=336 node=N19725 type=observe q_pred_context=1.124030 sequence=883.595029
[plan iscas99__b17] [plan] step=337 node=N19527 type=observe q_pred_context=1.132387 sequence=884.727417
[plan iscas99__b17] [plan] step=338 node=N30599 type=observe q_pred_context=1.132205 sequence=885.859621
[plan iscas99__b17] [plan] step=339 node=N19530 type=observe q_pred_context=1.139626 sequence=886.999247
[plan iscas99__b17] [plan] step=340 node=N31044 type=observe q_pred_context=1.151491 sequence=888.150738
[plan iscas99__b17] [plan] step=341 node=N31051 type=observe q_pred_context=1.177023 sequence=889.327761
[plan iscas99__b17] [plan] step=342 node=N31050 type=observe q_pred_context=1.184463 sequence=890.512224
[plan iscas99__b17] [plan] step=343 node=N31052 type=observe q_pred_context=1.173944 sequence=891.686169
[plan iscas99__b17] [plan] step=344 node=N24962 type=observe q_pred_context=1.163559 sequence=892.849728
[plan iscas99__b17] [plan] step=345 node=N19729 type=observe q_pred_context=1.155512 sequence=894.005240
[plan iscas99__b17] [plan] step=346 node=N19730 type=observe q_pred_context=1.143149 sequence=895.148389
[plan iscas99__b17] [plan] step=347 node=N19731 type=observe q_pred_context=1.137252 sequence=896.285641
[plan iscas99__b17] [plan] step=348 node=N19732 type=observe q_pred_context=1.138644 sequence=897.424285
[plan iscas99__b17] [plan] step=349 node=N19529 type=observe q_pred_context=1.140840 sequence=898.565125
[plan iscas99__b17] [plan] step=350 node=N19531 type=observe q_pred_context=1.144043 sequence=899.709169
[plan iscas99__b17] [plan] step=351 node=N19532 type=observe q_pred_context=1.146985 sequence=900.856154
[plan iscas99__b17] [plan] step=352 node=N19535 type=observe q_pred_context=1.148505 sequence=902.004658
[plan iscas99__b17] [plan] step=353 node=N14169 type=observe q_pred_context=1.714462 sequence=903.719121
[plan iscas99__b17] [plan] step=354 node=N14172 type=observe q_pred_context=1.299244 sequence=905.018364
[plan iscas99__b17] [plan] step=355 node=N5966 type=observe q_pred_context=0.942991 sequence=905.961355
[plan iscas99__b17] [plan] step=356 node=N5366 type=observe q_pred_context=1.232566 sequence=907.193922
[plan iscas99__b17] [plan] step=357 node=N5965 type=observe q_pred_context=0.878536 sequence=908.072458
[plan iscas99__b17] [plan] step=358 node=N5294 type=observe q_pred_context=0.779900 sequence=908.852358
[plan iscas99__b17] [plan] step=359 node=N2731 type=control0 q_pred_context=0.949281 sequence=909.801639
[plan iscas99__b17] [plan] step=360 node=N2201 type=control1 q_pred_context=1.231132 sequence=911.032770
[plan iscas99__b17] [plan] step=361 node=N5293 type=observe q_pred_context=2.537057 sequence=913.569828
[plan iscas99__b17] [plan] step=362 node=N5390 type=observe q_pred_context=1.377836 sequence=914.947664
[plan iscas99__b17] [plan] step=363 node=N5773 type=observe q_pred_context=1.351971 sequence=916.299634
[plan iscas99__b17] [plan] step=364 node=N5774 type=observe q_pred_context=1.375432 sequence=917.675067
[plan iscas99__b17] [plan] step=365 node=N5318 type=observe q_pred_context=1.397297 sequence=919.072363
[plan iscas99__b17] [plan] step=366 node=N5438 type=observe q_pred_context=1.247817 sequence=920.320180
[plan iscas99__b17] [plan] step=367 node=N5414 type=observe q_pred_context=1.436326 sequence=921.756506
[plan iscas99__b17] [plan] step=368 node=N2198 type=control0 q_pred_context=1.834362 sequence=923.590868
[plan iscas99__b17] [plan] step=369 node=N3826 type=observe q_pred_context=4.793273 sequence=928.384141
[plan iscas99__b17] [plan] step=370 node=N3888 type=observe q_pred_context=2.332792 sequence=930.716933
[plan iscas99__b17] [plan] step=371 node=N28623 type=observe q_pred_context=1.329967 sequence=932.046900
[plan iscas99__b17] [plan] step=372 node=N19534 type=observe q_pred_context=1.310722 sequence=933.357621
[plan iscas99__b17] [plan] step=373 node=N31954 type=observe q_pred_context=2.290232 sequence=935.647854
[plan iscas99__b17] [plan] step=374 node=N29527 type=observe q_pred_context=2.638838 sequence=938.286691
[plan iscas99__b17] [plan] step=375 node=N5870 type=observe q_pred_context=2.089099 sequence=940.375790
[plan iscas99__b17] [plan] step=376 node=N32139 type=observe q_pred_context=2.131219 sequence=942.507009
[plan iscas99__b17] [plan] step=377 node=N5726 type=observe q_pred_context=2.177665 sequence=944.684674
[plan iscas99__b17] [plan] step=378 node=N5917 type=observe q_pred_context=1.413160 sequence=946.097835
[plan iscas99__b17] [plan] step=379 node=N5893 type=observe q_pred_context=2.013638 sequence=948.111472
[plan iscas99__b17] [plan] step=380 node=N5462 type=observe q_pred_context=1.353991 sequence=949.465463
[plan iscas99__b17] [plan] step=381 node=N19533 type=observe q_pred_context=1.313569 sequence=950.779032
[plan iscas99__b17] [plan] step=382 node=N25734 type=observe q_pred_context=1.380309 sequence=952.159342
[plan iscas99__b17] [plan] step=383 node=N5990 type=observe q_pred_context=1.943738 sequence=954.103080
[plan iscas99__b17] [plan] step=384 node=N19856 type=observe q_pred_context=1.320771 sequence=955.423851
[plan iscas99__b17] [plan] step=385 node=N29510 type=observe q_pred_context=2.132807 sequence=957.556658
[plan iscas99__b17] [plan] step=386 node=N5845 type=observe q_pred_context=1.720835 sequence=959.277492
[plan iscas99__b17] [plan] step=387 node=N27215 type=observe q_pred_context=2.095563 sequence=961.373056
[plan iscas99__b17] [plan] step=388 node=N5821 type=observe q_pred_context=2.369457 sequence=963.742512
[plan iscas99__b17] [plan] step=389 node=N5941 type=observe q_pred_context=2.673848 sequence=966.416360
[plan iscas99__b17] [plan] step=390 node=N29526 type=observe q_pred_context=3.913714 sequence=970.330074
[plan iscas99__b17] [plan] step=391 node=N24290 type=observe q_pred_context=2.660331 sequence=972.990405
[plan iscas99__b17] [plan] step=392 node=N22529 type=observe q_pred_context=3.563864 sequence=976.554268
[plan iscas99__b17] [plan] step=393 node=N14167 type=observe q_pred_context=3.837026 sequence=980.391295
[plan iscas99__b17] [plan] step=394 node=N14168 type=observe q_pred_context=3.207675 sequence=983.598970
[plan iscas99__b17] [plan] step=395 node=N14171 type=observe q_pred_context=5.332541 sequence=988.931511
[plan iscas99__b17] [plan] step=396 node=N5341 type=observe q_pred_context=5.388289 sequence=994.319799
[plan iscas99__b17] [plan] step=397 node=N5942 type=observe q_pred_context=7.072990 sequence=1001.392789
[plan iscas99__b17] [plan] step=398 node=N19327 type=observe q_pred_context=8.098188 sequence=1009.490977
[plan iscas99__b17] [plan] step=399 node=N5485 type=observe q_pred_context=7.894212 sequence=1017.385189
[plan iscas99__b17] [plan] step=400 node=N5582 type=observe q_pred_context=8.100000 sequence=1025.485189
[plan iscas99__b17] [plan] step=401 node=N5534 type=observe q_pred_context=8.100000 sequence=1033.585189
[plan iscas99__b17] [plan] step=402 node=N5606 type=observe q_pred_context=8.100000 sequence=1041.685189
[plan iscas99__b17] [plan] step=403 node=N5654 type=observe q_pred_context=8.100000 sequence=1049.785189
[plan iscas99__b17] [plan] step=404 node=N5702 type=observe q_pred_context=8.100000 sequence=1057.885189
[plan iscas99__b17] [plan] step=405 node=N5533 type=observe q_pred_context=8.100000 sequence=1065.985189
[plan iscas99__b17] [plan] step=406 node=N8083 type=observe q_pred_context=7.210041 sequence=1073.195230
[plan iscas99__b17] [plan] step=407 node=N5869 type=observe q_pred_context=7.161858 sequence=1080.357088
[plan iscas99__b17] [plan] step=408 node=N5701 type=observe q_pred_context=8.100000 sequence=1088.457088
[plan iscas99__b17] [plan] step=409 node=N5797 type=observe q_pred_context=8.100000 sequence=1096.557088
[plan iscas99__b17] [plan] step=410 node=N5989 type=observe q_pred_context=8.100000 sequence=1104.657088
[plan iscas99__b17] [plan] step=411 node=N5630 type=observe q_pred_context=8.100000 sequence=1112.757088
[plan iscas99__b17] [plan] step=412 node=N19374 type=observe q_pred_context=8.100000 sequence=1120.857088
[plan iscas99__b17] [plan] step=413 node=N5678 type=observe q_pred_context=8.100000 sequence=1128.957088
[plan iscas99__b17] [plan] step=414 node=N5822 type=observe q_pred_context=8.100000 sequence=1137.057088
[plan iscas99__b17] [plan] step=415 node=N5510 type=observe q_pred_context=8.100000 sequence=1145.157088
[plan iscas99__b17] [plan] step=416 node=N5558 type=observe q_pred_context=8.100000 sequence=1153.257088
[plan iscas99__b17] [plan] step=417 node=N5725 type=observe q_pred_context=8.100000 sequence=1161.357088
[plan iscas99__b17] [plan] step=418 node=N19375 type=observe q_pred_context=8.100000 sequence=1169.457088
[plan iscas99__b17] [plan] step=419 node=N19378 type=observe q_pred_context=8.100000 sequence=1177.557088
[plan iscas99__b17] [plan] step=420 node=N28198 type=observe q_pred_context=8.100000 sequence=1185.657088
[plan iscas99__b17] [plan] step=421 node=N28191 type=observe q_pred_context=8.100000 sequence=1193.757088
[plan iscas99__b17] [plan] step=422 node=N14119 type=observe q_pred_context=8.100000 sequence=1201.857088
[plan iscas99__b17] [plan] step=423 node=N28139 type=observe q_pred_context=8.100000 sequence=1209.957088
[plan iscas99__b17] [plan] step=424 node=N5509 type=observe q_pred_context=7.500000 sequence=1217.457088
[plan iscas99__b17] [plan] step=425 node=N5557 type=observe q_pred_context=7.988256 sequence=1225.445344
[plan iscas99__b17] [plan] step=426 node=N28146 type=observe q_pred_context=8.100000 sequence=1233.545344
[plan iscas99__b17] [plan] step=427 node=N26325 type=observe q_pred_context=7.500000 sequence=1241.045344
[plan iscas99__b17] [plan] step=428 node=N26401 type=observe q_pred_context=8.100000 sequence=1249.145344
[plan iscas99__b17] [plan] step=429 node=N26408 type=observe q_pred_context=8.100000 sequence=1257.245344
[plan iscas99__b17] [plan] step=430 node=N26415 type=observe q_pred_context=8.100000 sequence=1265.345344
[plan iscas99__b17] [plan] step=431 node=N26422 type=observe q_pred_context=8.100000 sequence=1273.445344
[plan iscas99__b17] [plan] step=432 node=N26438 type=observe q_pred_context=8.100000 sequence=1281.545344
[plan iscas99__b17] [plan] step=433 node=N28132 type=observe q_pred_context=8.100000 sequence=1289.645344
[plan iscas99__b17] [plan] step=434 node=N19523 type=observe q_pred_context=8.100000 sequence=1297.745344
[plan iscas99__b17] [plan] step=435 node=N26150 type=observe q_pred_context=5.400000 sequence=1303.145344
[plan iscas99__b17] [plan] step=436 node=N26152 type=observe q_pred_context=5.400000 sequence=1308.545344
[plan iscas99__b17] [plan] step=437 node=N26157 type=observe q_pred_context=5.400000 sequence=1313.945344
[plan iscas99__b17] [plan] step=438 node=N14107 type=observe q_pred_context=6.000000 sequence=1319.945344
[plan iscas99__b17] [plan] step=439 node=N14109 type=observe q_pred_context=6.000000 sequence=1325.945344
[plan iscas99__b17] [plan] step=440 node=N14111 type=observe q_pred_context=7.500000 sequence=1333.445344
[plan iscas99__b17] [plan] step=441 node=N14113 type=observe q_pred_context=7.500000 sequence=1340.945344
[plan iscas99__b17] [plan] step=442 node=N26158 type=observe q_pred_context=7.500000 sequence=1348.445344
[plan iscas99__b17] [plan] step=443 node=N3937 type=observe q_pred_context=7.500000 sequence=1355.945344
[plan iscas99__b17] [plan] step=444 node=N14115 type=observe q_pred_context=8.100000 sequence=1364.045344
[plan iscas99__b17] [plan] step=445 node=N2219 type=control1 q_pred_context=8.100000 sequence=1372.145344
[plan iscas99__b17] [plan] step=446 node=N19536 type=observe q_pred_context=8.100000 sequence=1380.245344
[plan iscas99__b17] [plan] step=447 node=N14166 type=observe q_pred_context=6.719908 sequence=1386.965252
[plan iscas99__b17] [plan] step=448 node=N26178 type=observe q_pred_context=5.749029 sequence=1392.714280
[plan iscas99__b17] [plan] step=449 node=N14117 type=observe q_pred_context=6.235486 sequence=1398.949766
[plan iscas99__b17] [plan] step=450 node=N26167 type=observe q_pred_context=5.336102 sequence=1404.285868
[plan iscas99__b17] [plan] step=451 node=N7641 type=observe q_pred_context=7.500000 sequence=1411.785868
[plan iscas99__b17] [plan] step=452 node=N19537 type=observe q_pred_context=8.100000 sequence=1419.885868
[plan iscas99__b17] [plan] step=453 node=N14094 type=observe q_pred_context=7.072356 sequence=1426.958224
[plan iscas99__b17] [plan] step=454 node=N19538 type=observe q_pred_context=7.500000 sequence=1434.458224
[plan iscas99__b17] [plan] step=455 node=N19524 type=observe q_pred_context=7.500000 sequence=1441.958224
[plan iscas99__b17] [plan] step=456 node=N26171 type=observe q_pred_context=6.516815 sequence=1448.475039
[plan iscas99__b17] [plan] step=457 node=N31045 type=observe q_pred_context=7.500000 sequence=1455.975039
[plan iscas99__b17] [plan] step=458 node=N20954 type=observe q_pred_context=7.500000 sequence=1463.475039
[plan iscas99__b17] [plan] step=459 node=N26162 type=observe q_pred_context=5.400000 sequence=1468.875039
[plan iscas99__b17] [plan] step=460 node=N26169 type=observe q_pred_context=5.400000 sequence=1474.275039
[plan iscas99__b17] [plan] step=461 node=N26174 type=observe q_pred_context=5.400000 sequence=1479.675039
[plan iscas99__b17] [plan] step=462 node=N26176 type=observe q_pred_context=7.500000 sequence=1487.175039
[plan iscas99__b17] [plan] step=463 node=N26183 type=observe q_pred_context=7.500000 sequence=1494.675039
[plan iscas99__b17] [plan] step=464 node=N26184 type=observe q_pred_context=7.500000 sequence=1502.175039
[plan iscas99__b17] [plan] step=465 node=N26188 type=observe q_pred_context=7.500000 sequence=1509.675039
[plan iscas99__b17] [plan] step=466 node=N26192 type=observe q_pred_context=7.500000 sequence=1517.175039
[plan iscas99__b17] [plan] step=467 node=N26197 type=observe q_pred_context=8.100000 sequence=1525.275039
[plan iscas99__b17] [plan] step=468 node=N26198 type=observe q_pred_context=8.100000 sequence=1533.375039
[plan iscas99__b17] [plan] step=469 node=N26202 type=observe q_pred_context=8.100000 sequence=1541.475039
[plan iscas99__b17] [plan] step=470 node=N26206 type=observe q_pred_context=8.100000 sequence=1549.575039
[plan iscas99__b17] [plan] step=471 node=N26210 type=observe q_pred_context=8.100000 sequence=1557.675039
[plan iscas99__b17] [plan] step=472 node=N26214 type=observe q_pred_context=8.100000 sequence=1565.775039
[plan iscas99__b17] [plan] step=473 node=N26218 type=observe q_pred_context=8.100000 sequence=1573.875039
[plan iscas99__b17] [plan] step=474 node=N26222 type=observe q_pred_context=8.100000 sequence=1581.975039
[plan iscas99__b17] [plan] step=475 node=N26226 type=observe q_pred_context=8.100000 sequence=1590.075039
[plan iscas99__b17] [plan] step=476 node=N26230 type=observe q_pred_context=8.100000 sequence=1598.175039
[plan iscas99__b17] [plan] step=477 node=N26234 type=observe q_pred_context=8.100000 sequence=1606.275039
[plan iscas99__b17] [plan] step=478 node=N26238 type=observe q_pred_context=8.100000 sequence=1614.375039
[plan iscas99__b17] [plan] step=479 node=N26242 type=observe q_pred_context=8.100000 sequence=1622.475039
[plan iscas99__b17] [plan] step=480 node=N26246 type=observe q_pred_context=8.100000 sequence=1630.575039
[plan iscas99__b17] [plan] step=481 node=N26250 type=observe q_pred_context=8.100000 sequence=1638.675039
[plan iscas99__b17] [plan] step=482 node=N26254 type=observe q_pred_context=8.100000 sequence=1646.775039
[plan iscas99__b17] [plan] step=483 node=N29496 type=observe q_pred_context=6.016889 sequence=1652.791927
[plan iscas99__b17] [plan] step=484 node=N26258 type=observe q_pred_context=8.100000 sequence=1660.891927
[plan iscas99__b17] [plan] step=485 node=N26260 type=observe q_pred_context=8.100000 sequence=1668.991927
[plan iscas99__b17] [plan] step=486 node=N26262 type=observe q_pred_context=8.100000 sequence=1677.091927
[plan iscas99__b17] [plan] step=487 node=N26265 type=observe q_pred_context=8.100000 sequence=1685.191927
[plan iscas99__b17] [plan] step=488 node=N26267 type=observe q_pred_context=8.100000 sequence=1693.291927
[plan iscas99__b17] [plan] step=489 node=N26269 type=observe q_pred_context=8.100000 sequence=1701.391927
[plan iscas99__b17] [plan] step=490 node=N26271 type=observe q_pred_context=8.100000 sequence=1709.491927
[plan iscas99__b17] [plan] step=491 node=N26274 type=observe q_pred_context=8.100000 sequence=1717.591927
[plan iscas99__b17] [plan] step=492 node=N26276 type=observe q_pred_context=8.100000 sequence=1725.691927
[plan iscas99__b17] [plan] step=493 node=N26277 type=observe q_pred_context=8.100000 sequence=1733.791927
[plan iscas99__b17] [plan] step=494 node=N26278 type=observe q_pred_context=8.100000 sequence=1741.891927
[plan iscas99__b17] [plan] step=495 node=N26279 type=observe q_pred_context=8.100000 sequence=1749.991927
[plan iscas99__b17] [plan] step=496 node=N26293 type=observe q_pred_context=8.100000 sequence=1758.091927
[plan iscas99__b17] [plan] step=497 node=N26302 type=observe q_pred_context=8.100000 sequence=1766.191927
[plan iscas99__b17] [plan] step=498 node=N26315 type=observe q_pred_context=8.100000 sequence=1774.291927
[plan iscas99__b17] [plan] step=499 node=N26316 type=observe q_pred_context=8.100000 sequence=1782.391927
[plan iscas99__b17] [plan] step=500 node=N26317 type=observe q_pred_context=8.100000 sequence=1790.491927
[plan iscas99__b17] [plan] step=501 node=N26328 type=observe q_pred_context=8.100000 sequence=1798.591927
[plan iscas99__b17] [plan] step=502 node=N26335 type=observe q_pred_context=8.100000 sequence=1806.691927
[plan iscas99__b17] [plan] step=503 node=N26341 type=observe q_pred_context=8.100000 sequence=1814.791927
[plan iscas99__b17] [plan] step=504 node=N26348 type=observe q_pred_context=8.100000 sequence=1822.891927
[plan iscas99__b17] [plan] step=505 node=N26355 type=observe q_pred_context=8.100000 sequence=1830.991927
[plan iscas99__b17] [plan] step=506 node=N26362 type=observe q_pred_context=8.100000 sequence=1839.091927
[plan iscas99__b17] [plan] step=507 node=N26719 type=observe q_pred_context=8.100000 sequence=1847.191927
[plan iscas99__b17] [plan] step=508 node=N26653 type=observe q_pred_context=8.100000 sequence=1855.291927
[plan iscas99__b17] [plan] step=509 node=N26717 type=observe q_pred_context=8.100000 sequence=1863.391927
[plan iscas99__b17] [plan] step=510 node=N26718 type=observe q_pred_context=8.100000 sequence=1871.491927
[plan iscas99__b17] [plan] step=511 node=N26369 type=observe q_pred_context=8.100000 sequence=1879.591927
[plan iscas99__b17] [plan] step=512 node=N19712 type=observe q_pred_context=8.100000 sequence=1887.691927
[plan iscas99__b17] [plan] step=513 node=N26286 type=observe q_pred_context=8.100000 sequence=1895.791927
[plan iscas99__b17] [plan] step=514 node=N26154 type=observe q_pred_context=8.100000 sequence=1903.891927
[plan iscas99__b17] [plan] step=515 node=N24742 type=observe q_pred_context=8.100000 sequence=1911.991927
[plan iscas99__b17] [plan] step=516 node=N24748 type=observe q_pred_context=8.100000 sequence=1920.091927
[plan iscas99__b17] [plan] step=517 node=N24760 type=observe q_pred_context=8.100000 sequence=1928.191927
[plan iscas99__b17] [plan] step=518 node=N24776 type=observe q_pred_context=8.100000 sequence=1936.291927
[plan iscas99__b17] [plan] step=519 node=N26376 type=observe q_pred_context=8.100000 sequence=1944.391927
[plan iscas99__b17] [plan] step=520 node=N29490 type=observe q_pred_context=8.100000 sequence=1952.491927
[plan iscas99__b17] [plan] step=521 node=N24738 type=observe q_pred_context=8.100000 sequence=1960.591927
[plan iscas99__b17] [plan] step=522 node=N1985 type=observe q_pred_context=8.100000 sequence=1968.691927
[plan iscas99__b17] [plan] step=523 node=N24756 type=observe q_pred_context=8.008309 sequence=1976.700236
[plan iscas99__b17] [plan] step=524 node=N24752 type=observe q_pred_context=8.006096 sequence=1984.706331
[plan iscas99__b17] [plan] step=525 node=N24758 type=observe q_pred_context=7.968980 sequence=1992.675312
[plan iscas99__b17] [plan] step=526 node=N24774 type=observe q_pred_context=7.936399 sequence=2000.611711
[plan iscas99__b17] [plan] step=527 node=N24766 type=observe q_pred_context=7.894476 sequence=2008.506187
[plan iscas99__b17] [plan] step=528 node=N24746 type=observe q_pred_context=7.891286 sequence=2016.397473
[plan iscas99__b17] [plan] step=529 node=N24780 type=observe q_pred_context=7.906455 sequence=2024.303928
[plan iscas99__b17] [plan] step=530 node=N24770 type=observe q_pred_context=7.935784 sequence=2032.239712
[plan iscas99__b17] [plan] step=531 node=N24744 type=observe q_pred_context=7.995859 sequence=2040.235571
[plan iscas99__b17] [plan] step=532 node=N24754 type=observe q_pred_context=8.064328 sequence=2048.299899
[plan iscas99__b17] [plan] step=533 node=N26236 type=observe q_pred_context=8.047968 sequence=2056.347868
[plan iscas99__b17] [plan] step=534 node=N26240 type=observe q_pred_context=8.058496 sequence=2064.406364
[plan iscas99__b17] [plan] step=535 node=N26232 type=observe q_pred_context=8.079836 sequence=2072.486199
[plan iscas99__b17] [plan] step=536 node=N26383 type=observe q_pred_context=8.100000 sequence=2080.586199
[plan iscas99__b17] [plan] step=537 node=N26244 type=observe q_pred_context=8.100000 sequence=2088.686199
[plan iscas99__b17] [plan] step=538 node=N26248 type=observe q_pred_context=8.100000 sequence=2096.786199
