[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=170 node=N6668 type=observe q_typed_residual_context=0.941001 sequence=382.278285
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=171 node=N705 type=observe q_typed_residual_context=1.469187 sequence=383.747472
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=172 node=N5356 type=observe q_typed_residual_context=1.117765 sequence=384.865238
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=173 node=N715 type=observe q_typed_residual_context=1.904979 sequence=386.770217
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=174 node=N1879 type=observe q_typed_residual_context=0.772157 sequence=387.542374
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=175 node=N7439 type=observe q_typed_residual_context=1.123112 sequence=388.665486
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=176 node=N6682 type=observe q_typed_residual_context=3.015775 sequence=391.681261
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=177 node=N703 type=observe q_typed_residual_context=7.156296 sequence=398.837557
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=178 node=N5456 type=observe q_typed_residual_context=1.328991 sequence=400.166548
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=179 node=N679 type=observe q_typed_residual_context=5.931575 sequence=406.098123
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=180 node=N5439 type=observe q_typed_residual_context=5.263968 sequence=411.362091
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=181 node=N706 type=observe q_typed_residual_context=5.444379 sequence=416.806470
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=182 node=N7404 type=observe q_typed_residual_context=3.940441 sequence=420.746911
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=183 node=N5390 type=observe q_typed_residual_context=1.936642 sequence=422.683553
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=184 node=N2072 type=observe q_typed_residual_context=1.011356 sequence=423.694909
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=185 node=N6660 type=observe q_typed_residual_context=5.000501 sequence=428.695410
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=186 node=N752 type=observe q_typed_residual_context=4.996091 sequence=433.691501
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=187 node=N5373 type=observe q_typed_residual_context=1.289226 sequence=434.980727
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=188 node=N699 type=observe q_typed_residual_context=1.318015 sequence=436.298742
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=189 node=N753 type=observe q_typed_residual_context=6.222883 sequence=442.521625
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=190 node=N5334 type=observe q_typed_residual_context=1.252392 sequence=443.774017
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=191 node=N719 type=observe q_typed_residual_context=1.406338 sequence=445.180355
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=192 node=N756 type=observe q_typed_residual_context=6.221208 sequence=451.401563
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=193 node=N7381 type=observe q_typed_residual_context=1.475009 sequence=452.876572
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=194 node=N734 type=observe q_typed_residual_context=1.143078 sequence=454.019650
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=195 node=N1987 type=observe q_typed_residual_context=2.853886 sequence=456.873537
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=196 node=N686 type=observe q_typed_residual_context=1.325451 sequence=458.198987
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=197 node=N5283 type=observe q_typed_residual_context=1.260351 sequence=459.459339
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=198 node=N729 type=observe q_typed_residual_context=1.529521 sequence=460.988860
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=199 node=N689 type=observe q_typed_residual_context=3.916494 sequence=464.905354
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=200 node=N1351 type=observe q_typed_residual_context=2.642024 sequence=467.547378
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=201 node=N7380 type=observe q_typed_residual_context=1.832115 sequence=469.379494
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=202 node=N684 type=observe q_typed_residual_context=2.925852 sequence=472.305345
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=203 node=N7443 type=observe q_typed_residual_context=2.200680 sequence=474.506025
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=204 node=N5735 type=observe q_typed_residual_context=4.231989 sequence=478.738014
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=205 node=N2243 type=observe q_typed_residual_context=7.123907 sequence=485.861921
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=206 node=N6658 type=observe q_typed_residual_context=5.896977 sequence=491.758898
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=207 node=N2159 type=observe q_typed_residual_context=1.580316 sequence=493.339214
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=208 node=N2271 type=observe q_typed_residual_context=1.623198 sequence=494.962412
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=209 node=N2151 type=observe q_typed_residual_context=3.641024 sequence=498.603435
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=210 node=N2263 type=observe q_typed_residual_context=1.749683 sequence=500.353119
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=211 node=N7444 type=observe q_typed_residual_context=2.559776 sequence=502.912895
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=212 node=N5111 type=observe q_typed_residual_context=3.525868 sequence=506.438762
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=213 node=N2259 type=observe q_typed_residual_context=7.008137 sequence=513.446900
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=214 node=N6656 type=observe q_typed_residual_context=6.970015 sequence=520.416914
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=215 node=N695 type=observe q_typed_residual_context=4.104666 sequence=524.521580
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=216 node=N5094 type=observe q_typed_residual_context=2.944540 sequence=527.466120
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=217 node=N2267 type=observe q_typed_residual_context=6.307276 sequence=533.773397
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=218 node=N7391 type=observe q_typed_residual_context=5.797703 sequence=539.571100
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=219 node=N5160 type=observe q_typed_residual_context=2.736265 sequence=542.307365
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=220 node=N2251 type=observe q_typed_residual_context=6.913141 sequence=549.220506
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=221 node=N6537 type=observe q_typed_residual_context=7.165595 sequence=556.386101
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=222 node=N2721 type=control1 q_typed_residual_context=1.810564 sequence=558.196665
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=223 node=N2652 type=control1 q_typed_residual_context=1.474104 sequence=559.670769
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=224 node=N2894 type=control1 q_typed_residual_context=1.098407 sequence=560.769176
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=225 node=N2952 type=control1 q_typed_residual_context=1.110734 sequence=561.879910
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=226 node=N2779 type=control1 q_typed_residual_context=1.415709 sequence=563.295619
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=227 node=N763 type=observe q_typed_residual_context=0.946312 sequence=564.241931
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=228 node=N696 type=observe q_typed_residual_context=6.838488 sequence=571.080419
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=229 node=N2247 type=observe q_typed_residual_context=5.549332 sequence=576.629751
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=230 node=N697 type=observe q_typed_residual_context=6.247796 sequence=582.877547
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=231 node=N7440 type=observe q_typed_residual_context=2.988840 sequence=585.866388
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=232 node=N1352 type=observe q_typed_residual_context=4.987803 sequence=590.854191
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=233 node=N759 type=observe q_typed_residual_context=3.419058 sequence=594.273248
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=234 node=N7452 type=observe q_typed_residual_context=7.407977 sequence=601.681225
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=235 node=N2216 type=observe q_typed_residual_context=6.735768 sequence=608.416993
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=236 node=N2255 type=observe q_typed_residual_context=2.151030 sequence=610.568024
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=237 node=N680 type=observe q_typed_residual_context=6.995430 sequence=617.563453
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=238 node=N4900 type=observe q_typed_residual_context=4.337114 sequence=621.900568
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=239 node=N732 type=observe q_typed_residual_context=7.012075 sequence=628.912643
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=240 node=N6680 type=observe q_typed_residual_context=3.806858 sequence=632.719501
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=241 node=N2218 type=observe q_typed_residual_context=5.233353 sequence=637.952854
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=242 node=N717 type=observe q_typed_residual_context=3.556712 sequence=641.509565
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=243 node=N2183 type=observe q_typed_residual_context=6.596613 sequence=648.106179
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=244 node=N6678 type=observe q_typed_residual_context=3.868044 sequence=651.974223
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=245 node=N2203 type=observe q_typed_residual_context=3.598954 sequence=655.573177
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=246 node=N735 type=observe q_typed_residual_context=1.686408 sequence=657.259586
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=247 node=N2185 type=observe q_typed_residual_context=6.390774 sequence=663.650360
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=248 node=N733 type=observe q_typed_residual_context=6.397867 sequence=670.048227
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=249 node=N2205 type=observe q_typed_residual_context=6.970935 sequence=677.019162
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=250 node=N6562 type=observe q_typed_residual_context=6.006361 sequence=683.025523
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=251 node=N2226 type=observe q_typed_residual_context=3.863238 sequence=686.888760
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=252 node=N2201 type=observe q_typed_residual_context=6.172063 sequence=693.060824
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=253 node=N1348 type=observe q_typed_residual_context=6.536564 sequence=699.597387
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=254 node=N2837 type=control1 q_typed_residual_context=2.021687 sequence=701.619074
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=255 node=N2214 type=observe q_typed_residual_context=3.427989 sequence=705.047063
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=256 node=N1347 type=observe q_typed_residual_context=3.874727 sequence=708.921790
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=257 node=N7696 type=control0 q_typed_residual_context=0.038391 sequence=708.960181
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=258 node=N3009 type=control1 q_typed_residual_context=1.974602 sequence=710.934783
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=259 node=N6685 type=observe q_typed_residual_context=0.117936 sequence=711.052719
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=260 node=N2220 type=observe q_typed_residual_context=6.474227 sequence=717.526946
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=261 node=N758 type=observe q_typed_residual_context=6.411481 sequence=723.938427
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=262 node=N8470 type=observe q_typed_residual_context=7.563871 sequence=731.502298
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=263 node=N2222 type=observe q_typed_residual_context=6.890236 sequence=738.392534
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=264 node=N730 type=observe q_typed_residual_context=2.098768 sequence=740.491303
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=265 node=N7589 type=control1 q_typed_residual_context=6.928173 sequence=747.419476
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=266 node=N6684 type=observe q_typed_residual_context=1.699491 sequence=749.118967
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=267 node=N4790 type=observe q_typed_residual_context=7.482314 sequence=756.601281
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=268 node=N3067 type=control1 q_typed_residual_context=4.419239 sequence=761.020520
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=269 node=N6659 type=observe q_typed_residual_context=0.614011 sequence=761.634531
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=270 node=N8790 type=control1 q_typed_residual_context=4.854329 sequence=766.488860
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=271 node=N2209 type=observe q_typed_residual_context=7.396138 sequence=773.884998
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=272 node=N4798 type=observe q_typed_residual_context=0.977458 sequence=774.862456
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=273 node=N685 type=observe q_typed_residual_context=5.852320 sequence=780.714776
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=274 node=N727 type=observe q_typed_residual_context=6.240662 sequence=786.955439
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=275 node=N728 type=observe q_typed_residual_context=6.440218 sequence=793.395657
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=276 node=N687 type=observe q_typed_residual_context=6.404782 sequence=799.800439
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=277 node=N4821 type=observe q_typed_residual_context=7.100976 sequence=806.901415
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] [plan] step=278 node=N4774 type=observe q_typed_residual_context=2.294485 sequence=809.195900
[b15-round4/onpolicy_balanced/decay_0] [plan iscas99__b15_1] saved=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0/plans/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:48:12 [1/1] plan_done benchmark=iscas99__b15_1 plan_sec=166.744 plan_csv=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0/plans/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0.csv
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:48:12 [1/1] eval_start benchmark=iscas99__b15_1 backend=atalanta-bist patterns=300000
[b15-round4/onpolicy_balanced/decay_0] [eval iscas99__b15_1] {
[b15-round4/onpolicy_balanced/decay_0] [eval iscas99__b15_1]   "records": 2,
[b15-round4/onpolicy_balanced/decay_0] [eval iscas99__b15_1]   "labels_csv": "autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0/evals/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/labels.csv",
[b15-round4/onpolicy_balanced/decay_0] [eval iscas99__b15_1]   "summary_json": "autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_balanced/decay_0/evals/iscas99__b15_1__greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0/summary.json"
[b15-round4/onpolicy_balanced/decay_0] [eval iscas99__b15_1] }
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:48:20 [1/1] eval_done benchmark=iscas99__b15_1 delta_tc=0.12165000000000015 plan_sec=166.744 eval_sec=7.779 total_sec=174.535
[b15-round4/onpolicy_balanced/decay_0] [gmean] 2026-07-20T23:48:20 variant_done id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0 status=ok macro=0.12165000000000015 positives=1 negatives=0 elapsed=174.536
